uc_id,unit,n_grid_pixels
1032,core,5
1032,ring,113
1148,core,7
1148,ring,137
1461,core,145
1461,ring,303
1560,core,3
1560,ring,125
1656,core,3
1656,ring,99
1748,core,3
1748,ring,126
1836,core,3
1836,ring,104
1923,core,5
1923,ring,128
2007,core,476
2007,ring,506
2087,core,5
2087,ring,109
2167,core,5
2167,ring,124
2246,core,12
2246,ring,133
2325,core,8
2325,ring,118
2400,core,4
2400,ring,114
2471,core,88
2471,ring,251
2541,core,3
2541,ring,105
2607,core,9
2607,ring,127
2671,core,19
2671,ring,170
2799,core,5
2799,ring,135
2862,core,8
2862,ring,146
2924,core,4
2924,ring,107
2985,core,3
2985,ring,108
3045,core,22
3045,ring,187
3104,core,31
3104,ring,170
3162,core,4
3162,ring,103
3218,core,4
3218,ring,102
3273,core,20
3273,ring,190
3383,core,15
3383,ring,128
358,core,42
358,ring,135
3645,core,3
3645,ring,115
3834,core,3
3834,ring,104
3923,core,4
3923,ring,109
4008,core,32
4008,ring,164
4092,core,66
4092,ring,194
4172,core,8
4172,ring,145
4211,core,4
4211,ring,117
4249,core,3
4249,ring,105
4325,core,4
4325,ring,130
4363,core,3
4363,ring,103
4401,core,7
4401,ring,162
4439,core,10
4439,ring,162
4477,core,4
4477,ring,107
4514,core,4
4514,ring,142
4551,core,9
4551,ring,130
4588,core,4
4588,ring,103
4699,core,161
4699,ring,320
4736,core,106
4736,ring,312
4772,core,8
4772,ring,110
4843,core,32
4843,ring,211
4941,core,63
4941,ring,169
4974,core,13
4974,ring,101
508,core,3
508,ring,77
5098,core,79
5098,ring,190
5158,core,4
5158,ring,96
5187,core,5
5187,ring,108
5216,core,18
5216,ring,139
5377,core,59
5377,ring,210
5403,core,3
5403,ring,88
5428,core,11
5428,ring,181
5453,core,30
5453,ring,198
5503,core,5
5503,ring,135
5527,core,13
5527,ring,157
5551,core,7
5551,ring,144
5575,core,7
5575,ring,157
5913,core,31
5913,ring,204
5932,core,149
5932,ring,305
5988,core,5
5988,ring,153
6,core,8
6,ring,86
6006,core,5
6006,ring,148
6042,core,5
6042,ring,146
6060,core,10
6060,ring,160
6078,core,5
6078,ring,160
6457,core,4
6457,ring,128
648,core,4
648,ring,113
650,core,4
650,ring,75
