stage_id,analysis_role,reference_platform,source_platform,event_time_id,event_year,event_step8,start_date,end_date,fixed_candidate_cities,analyzed_cities_with_hourly_rows,hourly_city_event_rows,eligible_transition_city_events
external_calibration_combined_2019_2020,external_hour_offset_calibration,GOES17,GOES16,3001,2019,1,2019-06-01,2019-06-08,75,69,632,
external_calibration_combined_2019_2020,external_hour_offset_calibration,GOES17,GOES16,3002,2019,2,2019-07-17,2019-07-24,75,69,658,
external_calibration_combined_2019_2020,external_hour_offset_calibration,GOES17,GOES16,3003,2020,3,2020-06-01,2020-06-08,75,69,616,
external_calibration_combined_2019_2020,external_hour_offset_calibration,GOES17,GOES16,3004,2020,4,2020-07-17,2020-07-24,75,69,627,
external_validation_combined_2021,external_platform_replication,GOES17,GOES16,3005,2021,5,2021-06-01,2021-06-08,75,69,660,64
external_validation_combined_2021,external_platform_replication,GOES17,GOES16,3006,2021,6,2021-06-17,2021-06-24,75,69,653,62
external_validation_combined_2021,external_platform_replication,GOES17,GOES16,3007,2021,7,2021-07-03,2021-07-10,75,69,656,62
external_validation_combined_2021,external_platform_replication,GOES17,GOES16,3008,2021,8,2021-07-19,2021-07-26,75,66,602,58
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,894,2022,21,2022-06-10,2022-06-17,51,44,414,40
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,895,2022,22,2022-06-18,2022-06-25,51,44,435,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,896,2022,23,2022-06-26,2022-07-03,51,44,438,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,897,2022,24,2022-07-04,2022-07-11,51,44,434,43
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,898,2022,25,2022-07-12,2022-07-19,51,44,439,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,899,2022,26,2022-07-20,2022-07-27,51,44,435,43
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,900,2022,27,2022-07-28,2022-08-04,51,44,425,42
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,901,2022,28,2022-08-05,2022-08-12,51,44,440,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,902,2022,29,2022-08-13,2022-08-20,51,44,439,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,903,2022,30,2022-08-21,2022-08-28,51,44,439,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,904,2022,31,2022-08-29,2022-09-05,51,44,440,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,941,2023,22,2023-06-18,2023-06-25,51,44,439,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,942,2023,23,2023-06-26,2023-07-03,51,44,438,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,943,2023,24,2023-07-04,2023-07-11,51,44,437,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,944,2023,25,2023-07-12,2023-07-19,51,44,440,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,945,2023,26,2023-07-20,2023-07-27,51,44,435,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,946,2023,27,2023-07-28,2023-08-04,51,44,439,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,947,2023,28,2023-08-05,2023-08-12,51,44,439,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,948,2023,29,2023-08-13,2023-08-20,51,44,440,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,949,2023,30,2023-08-21,2023-08-28,51,44,439,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,950,2023,31,2023-08-29,2023-09-05,51,44,438,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,987,2024,22,2024-06-17,2024-06-24,51,44,430,43
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,988,2024,23,2024-06-25,2024-07-02,51,44,423,42
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,989,2024,24,2024-07-03,2024-07-10,51,44,431,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,990,2024,25,2024-07-11,2024-07-18,51,44,428,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,991,2024,26,2024-07-19,2024-07-26,51,44,421,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,992,2024,27,2024-07-27,2024-08-03,51,44,422,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,993,2024,28,2024-08-04,2024-08-11,51,44,431,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,994,2024,29,2024-08-12,2024-08-19,51,44,440,44
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,995,2024,30,2024-08-20,2024-08-27,51,44,433,43
initial_model_derivation_original_2022_2024,model_derivation,GOES18,GOES16,996,2024,31,2024-08-28,2024-09-04,51,44,433,44
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,894,2022,21,2022-06-10,2022-06-17,43,31,294,29
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,895,2022,22,2022-06-18,2022-06-25,43,31,290,27
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,896,2022,23,2022-06-26,2022-07-03,43,31,296,27
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,897,2022,24,2022-07-04,2022-07-11,43,31,301,28
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,898,2022,25,2022-07-12,2022-07-19,43,31,295,30
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,899,2022,26,2022-07-20,2022-07-27,43,30,284,27
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,900,2022,27,2022-07-28,2022-08-04,43,30,250,19
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,901,2022,28,2022-08-05,2022-08-12,43,31,286,26
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,902,2022,29,2022-08-13,2022-08-20,43,31,297,28
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,903,2022,30,2022-08-21,2022-08-28,43,31,304,29
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,904,2022,31,2022-08-29,2022-09-05,43,31,305,29
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,941,2023,22,2023-06-18,2023-06-25,43,31,302,29
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,942,2023,23,2023-06-26,2023-07-03,43,31,302,29
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,943,2023,24,2023-07-04,2023-07-11,43,31,299,28
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,944,2023,25,2023-07-12,2023-07-19,43,31,303,29
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,945,2023,26,2023-07-20,2023-07-27,43,31,300,29
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,946,2023,27,2023-07-28,2023-08-04,43,31,296,29
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,947,2023,28,2023-08-05,2023-08-12,43,31,301,29
initial_model_evaluation_expansion_2022_2024,spatial_transfer_evaluation,GOES18,GOES16,948,2023,29,2023-08-13,2023-08-20,43,31,297,27
