target_hour_from_sunset,core_offset_k,ring_offset_k,n_calibration_rows,n_calibration_cities,n_calibration_events
-3,3.6842922980475317,3.0614738488792974,223,64,4
-2,2.445215433008439,2.0590401995725767,237,66,4
-1,1.3190312258587868,1.012672571565945,245,67,4
0,0.49278194988242846,0.28829310162467187,253,69,4
1,0.20764533441023186,-0.0016718234135883454,257,69,4
2,0.06685353155340774,-0.11898308092361365,255,69,4
3,-0.06935651287604236,-0.22175492703026306,262,69,4
4,-0.21650038425277413,-0.31275289215060237,265,69,4
5,-0.2819093377047003,-0.37969050259690457,269,69,4
6,-0.43606207235114136,-0.561778318195265,267,69,4
