uc_id,uc_name,lat,lon,lookup_region,calibration_cohort,profile,un_sdg_reg,water_tertile,storage_quartile,mean_water_support_ratio,heat_retention_score,high_green,mean_ring_veg,z_ring_green_support,goes18_2026_core_grid_pixels,goes18_2026_ring_grid_pixels,goes18_2026_grid_eligible,goes19_2026_core_grid_pixels,goes19_2026_ring_grid_pixels,goes19_2026_grid_eligible,paired_2026_grid_eligible,candidate_2022_2024_original,candidate_2022_2024_expansion,candidate_2025_original,candidate_2025_expansion,candidate_2025_combined,candidate_2026_combined,candidate_external_2019_2021,analyzed_derivation_2022_2024_original,analyzed_evaluation_2022_2024_expansion,analyzed_evaluation_2025_original,analyzed_evaluation_2025_expansion,analyzed_calibration_2025_combined,analyzed_holdout_2026_combined,analyzed_external_validation_2021,analyzed_external_calibration_2019_2020
6,Victoria,48.4470998712761,-123.353337755437,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,562.913988657845,-1.07664852267654,12,168,True,8,86,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,False,False
195,Nanaimo,49.1992282439243,-123.986879344336,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,635.109640831758,-0.851637466006185,6,146,True,3,78,True,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False
358,Vancouver,49.2332799825293,-122.974178414087,Northern America,original,lower-water/higher-built,Northern America,Low,4,0.239493225754167,1.35557019984016,,,,71,249,True,42,135,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,False,False
508,White Rock,49.0434437114444,-122.825408398704,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,817.864839319471,-0.282047205575252,5,141,True,3,77,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,False,False
648,Santa Maria,34.9476286305729,-120.437161030889,Northern America,original,lower-water/higher-built,Northern America,Low,4,0.0227912521445806,1.37436700903187,,,,7,198,True,4,113,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
650,Langley City,49.1089371175956,-122.691393435621,Northern America,original,lower-water/higher-built,Northern America,Low,4,0.232979638837802,1.01409496695539,,,,4,144,True,4,75,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,False,False
784,Santa Barbara,34.4227092293091,-119.714211609919,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,708.13988657845,-0.624025244638977,8,203,True,4,129,True,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False
912,Santa Cruz,36.9691560199041,-122.000884087763,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,747.796786389414,-0.500427207055772,7,201,True,3,112,True,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False
1032,Salinas,36.6880908374436,-121.640525927098,Northern America,original,lower-water/higher-built,Northern America,Low,4,0.0418110154012304,1.4677441827781,,,,8,200,True,5,113,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
1034,Kelowna,49.8854486436048,-119.450437772263,Northern America,original,intermediate,Northern America,Low,2,0.114655559992582,0.0719708532998947,,,,3,140,True,2,83,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False
1148,Oxnard,34.1909334869074,-119.183378636455,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,680.603969754253,-0.709846004676909,12,217,True,7,137,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
1152,Lethbridge,49.6994976634608,-112.809212831506,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,599.996219281664,-0.96107491616268,2,124,False,3,91,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False
1257,Watsonville,36.9198341886474,-121.76435886268,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,884.48393194707,-0.0744165245690547,3,182,True,2,103,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False
1361,Ventura,34.2723429367237,-119.247323067519,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,761.229678638941,-0.458561122489847,5,205,True,2,127,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False
1461,San Francisco,37.5560590967849,-122.132392891794,Northern America,original,lower-water/higher-built,Northern America,Low,4,0.0702525521421884,1.73167598391158,,,,253,537,True,145,303,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
1560,Camarillo,34.227622871393,-119.028319841404,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,890.26370510397,-0.0564027962323932,4,190,True,3,125,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
1656,San Rafael,37.9838060543463,-122.540181681561,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,680.796786389414,-0.709245056094623,6,192,True,3,99,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
1748,Thousand Oaks,34.2054370522509,-118.859753767326,Northern America,original,intermediate,Northern America,Low,3,0.0153099604451959,0.732272303936345,,,,3,198,True,3,126,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
1836,Petaluma,38.2485035696847,-122.629685763553,Northern America,original,intermediate,Northern America,Low,3,0.115483425645288,0.811801405151515,,,,4,190,True,3,104,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
1923,Simi Valley,34.2739555371981,-118.734367257886,Northern America,original,intermediate,Northern America,Low,3,0.0058855176552711,0.736733910757509,,,,7,215,True,5,128,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
2007,Los Angeles,33.9858866483625,-118.002817143772,Northern America,original,lower-water/higher-built,Northern America,Low,4,0.0321809272875115,2.04340177235092,,,,730,655,True,476,506,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
2087,Santa Rosa,38.4381067360968,-122.72213277699,Northern America,original,lower-water/higher-built,Northern America,Low,4,0.130693101666411,1.04486517800776,,,,10,201,True,5,109,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
2167,Pleasanton,37.7065555971307,-121.910062477279,Northern America,original,intermediate,Northern America,Low,3,0.0473092574519536,0.82391383025747,,,,10,215,True,5,124,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
2246,Concord,37.9577713521034,-122.048034828234,Northern America,original,intermediate,Northern America,Low,3,0.063781651580016,0.812568781836609,,,,23,245,True,12,133,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
2325,Vallejo,38.1089905602311,-122.226579645289,Northern America,original,intermediate,Northern America,Low,2,0.090771428336239,0.0960849792529863,,,,15,223,True,8,118,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
2400,Livermore,37.6866095062508,-121.751312792964,Northern America,original,lower-water/higher-built,Northern America,Low,4,0.0330184938956966,1.33301758265104,,,,7,204,True,4,114,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
2471,San Diego,32.7403801809868,-117.088128378439,Northern America,original,lower-water/higher-built,Northern America,Low,4,0.0140251573095623,1.52308655800403,,,,132,371,True,88,251,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
2541,Napa,38.308231275089,-122.301449539497,Northern America,original,intermediate,Northern America,Low,3,0.106765363873704,0.800325663926781,,,,3,178,True,3,105,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
2607,Antioch,38.0013754137538,-121.853457066441,Northern America,original,intermediate,Northern America,Low,2,0.0504652352501555,-0.114748186272731,,,,13,224,True,9,127,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
2671,Mission Viejo,33.6032067075097,-117.680726116274,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,896.049149338374,-0.0383713929374294,32,253,True,19,170,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
2799,Encinitas,33.059466005749,-117.270200991148,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,673.332703213611,-0.732508247047136,8,199,True,5,135,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
2862,Oceanside,33.1719827066316,-117.342868169287,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,766.241965973535,-0.442939405176795,11,229,True,8,146,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
2924,Fairfield,38.2607266452728,-122.026959066421,Northern America,original,intermediate,Northern America,Low,3,0.0665420392253118,0.771860070253008,,,,5,185,True,4,107,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
2985,Brentwood,37.9609916845324,-121.713642784408,Northern America,original,intermediate,Northern America,Low,2,0.0371102777908153,0.0003604455875439,,,,5,194,True,3,108,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
3045,Escondido,33.1726178246213,-117.201264066164,Northern America,original,lower-water/higher-built,Northern America,Low,4,0.0119536314303188,1.22781532135381,,,,29,274,True,22,187,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
3104,Bakersfield,35.3608730013754,-119.04801894048,Northern America,original,intermediate,Northern America,Low,3,0.0012119765317917,0.764949534398559,,,,52,268,True,31,170,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
3162,Tracy,37.7318905369148,-121.432219599548,Northern America,original,intermediate,Northern America,Low,3,0.0215566688251362,0.376852782734023,,,,7,193,True,4,103,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
3218,Vacaville,38.3477465401217,-121.969154473338,Northern America,original,intermediate,Northern America,Low,3,0.0579490265907242,0.76262675584396,,,,5,188,True,4,102,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
3273,Riverside,33.9153544047812,-117.479874030204,Northern America,original,intermediate,Northern America,Low,3,0.0085807979444718,0.900909360065552,,,,33,289,True,20,190,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
3328,Manteca,37.8044315511829,-121.222667225541,Northern America,original,lower-water/higher-built,Northern America,Low,4,0.0372186932562283,1.24824888250089,,,,3,174,True,2,102,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False
3383,Stockton,37.975390832999,-121.297922803037,Northern America,original,intermediate,Northern America,Low,3,0.0118772585694224,0.78105528897827,,,,25,246,True,15,128,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
3541,Turlock,37.5056117185102,-120.851926598217,Northern America,original,lower-water/higher-built,Northern America,Low,4,0.0213738658414767,1.08185474983929,,,,6,185,True,2,106,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False
3645,Hanford,36.338285825424,-119.652841809633,Northern America,original,intermediate,Northern America,Low,3,0.0054359442700156,0.663540818004865,,,,5,185,True,3,115,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
3743,Merced,37.3101701805342,-120.477252178993,Northern America,original,intermediate,Northern America,Low,3,0.0356871804426575,0.521418785139839,,,,6,194,True,2,111,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False
3789,Davis,38.5527634802678,-121.739644952361,Northern America,original,intermediate,Northern America,Low,3,0.0412331987623256,0.494947480627091,,,,4,180,True,2,93,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False
3834,Lodi,38.1286924978892,-121.283107298614,Northern America,original,intermediate,Northern America,Low,3,0.0244506718234345,0.844826056906909,,,,3,184,True,3,104,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
3923,Madera,36.9600534534292,-120.066526224278,Northern America,original,intermediate,Northern America,Low,2,0.0210196036511674,0.0643213279369175,,,,4,180,True,4,109,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
4008,Fresno,36.7876026628218,-119.771347720209,Northern America,original,lower-water/higher-built,Northern America,Low,4,0.0115809625147201,1.0862183888269,,,,53,266,True,32,164,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
4050,Woodland,38.6757363896493,-121.76796417763,Northern America,original,lower-water/higher-built,Northern America,Low,4,0.0388510840366212,1.09457700444801,,,,5,173,True,2,103,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False
4092,Sacramento,38.5933336873671,-121.391662881117,Northern America,original,intermediate,Northern America,Low,3,0.0429131683840355,0.504664392567391,,,,115,330,True,66,194,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
4172,Hemet,33.7574862144599,-116.958181511368,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,863.201323251418,-0.140747697252064,11,210,True,8,145,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
4211,Porterville,36.0721334375192,-119.037528898373,Northern America,original,intermediate,Northern America,Low,3,0.0022843437766214,0.323728694445336,,,,4,183,True,4,117,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
4249,Natoma Station,38.6677744518682,-121.148561860025,Northern America,original,intermediate,Northern America,Low,3,0.0510849212797387,0.273387347139332,,,,4,182,True,3,105,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
4325,Palm Springs,33.8275310059352,-116.531792091578,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,499.34404536862,-1.27477596776874,8,198,True,4,130,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
4363,Rocklin,38.8049122487546,-121.266526697213,Northern America,original,intermediate,Northern America,Low,3,0.0469241924111262,0.507966416169791,,,,4,185,True,3,103,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
4401,Palm Desert,33.7560062933531,-116.403302695956,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,486.170132325142,-1.31583489590552,12,239,True,7,162,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
4439,Indio,33.7213715438106,-116.25261472784,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,153.85538752363,-2.35155504834352,16,230,True,10,162,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
