design_id,reference_platform,source_platform,analysis_role,year,step8,event_time_id,start_date,end_date,interval_days_inclusive,protocol,frozen_status
goes17_goes16_2019_2021,GOES17,GOES16,calibration,2019,1,3001,2019-06-01,2019-06-08,8,GOES17_GOES16_EXTERNAL_METRIC_REPLICATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes17_goes16_2019_2021,GOES17,GOES16,calibration,2019,2,3002,2019-07-17,2019-07-24,8,GOES17_GOES16_EXTERNAL_METRIC_REPLICATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes17_goes16_2019_2021,GOES17,GOES16,calibration,2020,3,3003,2020-06-01,2020-06-08,8,GOES17_GOES16_EXTERNAL_METRIC_REPLICATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes17_goes16_2019_2021,GOES17,GOES16,calibration,2020,4,3004,2020-07-17,2020-07-24,8,GOES17_GOES16_EXTERNAL_METRIC_REPLICATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes17_goes16_2019_2021,GOES17,GOES16,validation,2021,5,3005,2021-06-01,2021-06-08,8,GOES17_GOES16_EXTERNAL_METRIC_REPLICATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes17_goes16_2019_2021,GOES17,GOES16,validation,2021,6,3006,2021-06-17,2021-06-24,8,GOES17_GOES16_EXTERNAL_METRIC_REPLICATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes17_goes16_2019_2021,GOES17,GOES16,validation,2021,7,3007,2021-07-03,2021-07-10,8,GOES17_GOES16_EXTERNAL_METRIC_REPLICATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes17_goes16_2019_2021,GOES17,GOES16,validation,2021,8,3008,2021-07-19,2021-07-26,8,GOES17_GOES16_EXTERNAL_METRIC_REPLICATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2022,21,894,2022-06-10,2022-06-17,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2022,22,895,2022-06-18,2022-06-25,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2022,23,896,2022-06-26,2022-07-03,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2022,24,897,2022-07-04,2022-07-11,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2022,25,898,2022-07-12,2022-07-19,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2022,26,899,2022-07-20,2022-07-27,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2022,27,900,2022-07-28,2022-08-04,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2022,28,901,2022-08-05,2022-08-12,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2022,29,902,2022-08-13,2022-08-20,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2022,30,903,2022-08-21,2022-08-28,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2022,31,904,2022-08-29,2022-09-05,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2023,22,941,2023-06-18,2023-06-25,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2023,23,942,2023-06-26,2023-07-03,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2023,24,943,2023-07-04,2023-07-11,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2023,25,944,2023-07-12,2023-07-19,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2023,26,945,2023-07-20,2023-07-27,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2023,27,946,2023-07-28,2023-08-04,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2023,28,947,2023-08-05,2023-08-12,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2023,29,948,2023-08-13,2023-08-20,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2023,30,949,2023-08-21,2023-08-28,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2023,31,950,2023-08-29,2023-09-05,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2024,22,987,2024-06-17,2024-06-24,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2024,23,988,2024-06-25,2024-07-02,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2024,24,989,2024-07-03,2024-07-10,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2024,25,990,2024-07-11,2024-07-18,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2024,26,991,2024-07-19,2024-07-26,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2024,27,992,2024-07-27,2024-08-03,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2024,28,993,2024-08-04,2024-08-11,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2024,29,994,2024-08-12,2024-08-19,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2024,30,995,2024-08-20,2024-08-27,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes16_2022_2024,GOES18,GOES16,model_derivation_original_and_spatial_evaluation_expansion,2024,31,996,2024-08-28,2024-09-04,8,MULTIPLATFORM_HARMONIZATION_PROTOCOL.md; MULTIPLATFORM_EXPANDED_VALIDATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes19_2025,GOES18,GOES19,initial_model_evaluation_and_metric_aware_calibration,2025,22,1033,2025-06-18,2025-06-25,8,GOES19_2025_TEMPORAL_SENSOR_HOLDOUT_PROTOCOL.md; GOES18_GOES19_METRIC_AWARE_HARMONIZATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes19_2025,GOES18,GOES19,initial_model_evaluation_and_metric_aware_calibration,2025,23,1034,2025-06-26,2025-07-03,8,GOES19_2025_TEMPORAL_SENSOR_HOLDOUT_PROTOCOL.md; GOES18_GOES19_METRIC_AWARE_HARMONIZATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes19_2025,GOES18,GOES19,initial_model_evaluation_and_metric_aware_calibration,2025,24,1035,2025-07-04,2025-07-11,8,GOES19_2025_TEMPORAL_SENSOR_HOLDOUT_PROTOCOL.md; GOES18_GOES19_METRIC_AWARE_HARMONIZATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes19_2025,GOES18,GOES19,initial_model_evaluation_and_metric_aware_calibration,2025,25,1036,2025-07-12,2025-07-19,8,GOES19_2025_TEMPORAL_SENSOR_HOLDOUT_PROTOCOL.md; GOES18_GOES19_METRIC_AWARE_HARMONIZATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes19_2025,GOES18,GOES19,initial_model_evaluation_and_metric_aware_calibration,2025,26,1037,2025-07-20,2025-07-27,8,GOES19_2025_TEMPORAL_SENSOR_HOLDOUT_PROTOCOL.md; GOES18_GOES19_METRIC_AWARE_HARMONIZATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes19_2025,GOES18,GOES19,initial_model_evaluation_and_metric_aware_calibration,2025,27,1038,2025-07-28,2025-08-04,8,GOES19_2025_TEMPORAL_SENSOR_HOLDOUT_PROTOCOL.md; GOES18_GOES19_METRIC_AWARE_HARMONIZATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes19_2025,GOES18,GOES19,initial_model_evaluation_and_metric_aware_calibration,2025,28,1039,2025-08-05,2025-08-12,8,GOES19_2025_TEMPORAL_SENSOR_HOLDOUT_PROTOCOL.md; GOES18_GOES19_METRIC_AWARE_HARMONIZATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes19_2025,GOES18,GOES19,initial_model_evaluation_and_metric_aware_calibration,2025,29,1040,2025-08-13,2025-08-20,8,GOES19_2025_TEMPORAL_SENSOR_HOLDOUT_PROTOCOL.md; GOES18_GOES19_METRIC_AWARE_HARMONIZATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes19_2025,GOES18,GOES19,initial_model_evaluation_and_metric_aware_calibration,2025,30,1041,2025-08-21,2025-08-28,8,GOES19_2025_TEMPORAL_SENSOR_HOLDOUT_PROTOCOL.md; GOES18_GOES19_METRIC_AWARE_HARMONIZATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes19_2025,GOES18,GOES19,initial_model_evaluation_and_metric_aware_calibration,2025,31,1042,2025-08-29,2025-09-05,8,GOES19_2025_TEMPORAL_SENSOR_HOLDOUT_PROTOCOL.md; GOES18_GOES19_METRIC_AWARE_HARMONIZATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes19_2026,GOES18,GOES19,prospective_temporal_holdout,2026,1,2001,2026-06-01,2026-06-08,8,GOES18_GOES19_METRIC_AWARE_HARMONIZATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes19_2026,GOES18,GOES19,prospective_temporal_holdout,2026,2,2002,2026-06-09,2026-06-16,8,GOES18_GOES19_METRIC_AWARE_HARMONIZATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes19_2026,GOES18,GOES19,prospective_temporal_holdout,2026,3,2003,2026-06-17,2026-06-24,8,GOES18_GOES19_METRIC_AWARE_HARMONIZATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes19_2026,GOES18,GOES19,prospective_temporal_holdout,2026,4,2004,2026-06-25,2026-07-02,8,GOES18_GOES19_METRIC_AWARE_HARMONIZATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes19_2026,GOES18,GOES19,prospective_temporal_holdout,2026,5,2005,2026-07-03,2026-07-10,8,GOES18_GOES19_METRIC_AWARE_HARMONIZATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes19_2026,GOES18,GOES19,prospective_temporal_holdout,2026,6,2006,2026-07-11,2026-07-18,8,GOES18_GOES19_METRIC_AWARE_HARMONIZATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes19_2026,GOES18,GOES19,prospective_temporal_holdout,2026,7,2007,2026-07-19,2026-07-26,8,GOES18_GOES19_METRIC_AWARE_HARMONIZATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
goes18_goes19_2026,GOES18,GOES19,prospective_temporal_holdout,2026,8,2008,2026-07-27,2026-08-03,8,GOES18_GOES19_METRIC_AWARE_HARMONIZATION_PROTOCOL.md,frozen_before_design-specific_outcome_extraction
