scope_type,scope_label,event_time_id,start_date,end_date,n_transitions,n_covered,coverage,n_certified,certified_fraction,n_certified_correct,certified_sign_accuracy,uncertainty_half_width_k,mean_interval_width_k,formal_gate_scope,coverage_gate_lower_bound,coverage_gate_upper_bound,certified_accuracy_gate_threshold,coverage_within_prespecified_band,certified_accuracy_gate_pass,meets_both_uncertainty_criteria
cohort,combined,,,,588,529,0.899659863945578,180,0.306122448979592,174,0.966666666666667,1.5358181423611,3.0716362847222,True,0.85,0.95,0.9,True,True,True
cohort,expansion,,,,239,188,0.786610878661088,84,0.351464435146443,78,0.928571428571429,1.5358181423611,3.0716362847222,False,0.85,0.95,0.9,False,True,False
cohort,original,,,,349,341,0.977077363896848,96,0.275071633237822,96,1,1.5358181423611,3.0716362847222,False,0.85,0.95,0.9,False,True,False
event,event_2001,2001,2026-06-01,2026-06-08,72,64,0.888888888888889,26,0.361111111111111,26,1,1.5358181423611,3.0716362847222,False,0.85,0.95,0.9,True,True,True
event,event_2002,2002,2026-06-09,2026-06-16,75,69,0.92,27,0.36,27,1,1.5358181423611,3.0716362847222,False,0.85,0.95,0.9,True,True,True
event,event_2003,2003,2026-06-17,2026-06-24,74,69,0.932432432432432,26,0.351351351351351,26,1,1.5358181423611,3.0716362847222,False,0.85,0.95,0.9,True,True,True
event,event_2004,2004,2026-06-25,2026-07-02,70,64,0.914285714285714,18,0.257142857142857,18,1,1.5358181423611,3.0716362847222,False,0.85,0.95,0.9,True,True,True
event,event_2005,2005,2026-07-03,2026-07-10,72,66,0.916666666666667,24,0.333333333333333,23,0.958333333333333,1.5358181423611,3.0716362847222,False,0.85,0.95,0.9,True,True,True
event,event_2006,2006,2026-07-11,2026-07-18,75,66,0.88,18,0.24,17,0.944444444444444,1.5358181423611,3.0716362847222,False,0.85,0.95,0.9,True,True,True
event,event_2007,2007,2026-07-19,2026-07-26,75,63,0.84,20,0.266666666666667,19,0.95,1.5358181423611,3.0716362847222,False,0.85,0.95,0.9,False,True,False
event,event_2008,2008,2026-07-27,2026-08-03,75,68,0.906666666666667,21,0.28,18,0.857142857142857,1.5358181423611,3.0716362847222,False,0.85,0.95,0.9,True,False,False
