sample,n_cities,n_events,scope,n,raw_core_bias_k,raw_ring_bias_k,harm_core_bias_k,harm_ring_bias_k,raw_core_variance_k2,raw_ring_variance_k2,harm_core_variance_k2,harm_ring_variance_k2,raw_covariance_k2,harm_covariance_k2,raw_differential_bias_squared_k2,harm_differential_bias_squared_k2,raw_downstream_mse_k2,harm_downstream_mse_k2,component_variance_gain_k2,differential_bias_gain_k2,covariance_loss_penalty_k2,net_downstream_mse_gain_k2,net_downstream_mse_gain_fraction,budget_sum_k2,budget_closure_residual_k2,raw_identity_residual_k2,harm_identity_residual_k2,raw_core_rmse_k,harm_core_rmse_k,core_rmse_reduction_fraction,raw_ring_rmse_k,harm_ring_rmse_k,ring_rmse_reduction_fraction,raw_anomaly_rmse_k,harm_anomaly_rmse_k,anomaly_rmse_reduction_fraction,raw_error_correlation,harm_error_correlation,mean_raw_anomaly_error_k,mean_harm_anomaly_error_k
2022-2024 expansion GOES18/16,31,31,hourly,9197,-0.6066319489037499,-0.637513753206541,0.5112495140372417,0.1476481876617566,1.4656431967944734,1.099681216502972,0.655518668423488,0.4439105276372027,1.0111622324365357,0.2818031901754683,0.0009536858369958,0.132205924542012,0.5439536342613702,0.6680287402517658,1.465895217236755,-0.1312522387050161,1.4587180845221348,-0.1240751059903956,-0.2280986800628257,-0.1240751059903959,3.3306690738754696e-16,2.220446049250313e-16,-3.3306690738754696e-16,,,,,,,,,,,,,
2022-2024 expansion GOES18/16,31,31,transition,886,1.865755239059765,1.666748728938882,-0.054631069674887,-0.1096452248775352,0.8586018401433788,0.77060975252253,0.8689112932865938,0.7712511655916238,0.1886931615641267,0.1935379181537161,0.039603591070493,0.003026557272661,1.291428860608148,1.2561131798434466,-0.0109508662123087,0.036577033797832,-0.0096895131791787,0.0353156807647014,0.0273462068580927,0.0353156807647019,-4.926614671774132e-16,-2.220446049250313e-16,2.220446049250313e-16,,,,,,,,,,,,,
2025 original GOES18/19,44,10,hourly,4180,-1.40524244853863,-1.0941581034318113,-0.2943281525160982,-0.3166355310382904,1.459490888729377,1.2205176691248292,0.5027557183389829,0.3904566867732802,1.1517299571252384,0.2607266960200214,0.0967734697705383,0.0004976191365323,0.4733221133742676,0.3722566322087527,1.7867961527419431,0.0962758506340059,1.782006522210434,0.1010654811655148,0.213523683575713,0.1010654811655151,-2.775557561562891e-16,-2.220446049250313e-16,5.551115123125783e-17,,,,,,,,,,,,,
2025 original GOES18/19,44,10,transition,435,2.1455262892900024,2.0005459831500856,0.134438737238979,0.1459471767037594,0.688362998453022,0.6090030180719892,0.6071092278647374,0.5582526828499994,0.3519878513514855,0.2875678106534187,0.021019289168424,0.0001324441789145,0.614409602990464,0.590358733586814,0.1320041058102743,0.0208868449895094,0.1288400813961335,0.0240508694036499,0.0391446834271294,0.0240508694036502,-2.775557561562891e-16,-1.1102230246251563e-16,1.1102230246251563e-16,,,,,,,,,,,,,
2025 expansion GOES18/19,31,10,hourly,2963,-0.8374483843865737,-0.9685847125510072,0.2784821762415759,-0.1859468673505454,1.6518097482842355,1.437765805127035,0.806445998788082,0.5806853896843972,1.1673229273710948,0.3129626267742906,0.01719673656445,0.2156943365318926,0.7721264352335308,0.9769004714557904,1.7024441649387914,-0.1984975999674426,1.7087206011936082,-0.2047740362222596,-0.2652079075110612,-0.2047740362222594,-2.220446049250313e-16,-2.220446049250313e-16,-1.1102230246251563e-16,,,,,,,,,,,,,
2025 expansion GOES18/19,31,10,transition,298,2.018520414048239,2.036005525841957,0.0445667003166447,0.2134118373071069,1.0317089237520656,1.072657298207096,1.0365718821865677,1.049288832660633,0.4056509136394879,0.3943074620382741,0.0003057291344388,0.0285086802853279,1.293370123814625,1.32575447105598,0.018505507111961,-0.0282029511508891,0.0226869032024276,-0.0323843472413554,-0.02503873148534,-0.0323843472413556,2.498001805406602e-16,-2.220446049250313e-16,0.0,,,,,,,,,,,,,
2026 combined GOES18/19,75,8,hourly,5744,-1.233482312302261,-1.0518136538060152,-0.0502873084756735,0.002468191564315,1.513457519750642,1.1448700637391775,0.4819694689140891,0.4333792298424074,1.037484911548632,0.1479795560304038,0.0330035014798255,0.0027831427844692,0.6163612618723815,0.6221727294801581,1.7429788847333234,0.0302203586953563,1.7790107110364564,-0.0058114676077766,-0.0094286710850752,-0.0058114676077767,1.1102230246251563e-16,0.0,0.0,,,,,,,,,,,,,
2026 combined GOES18/19,75,8,transition,588,1.9019046894353993,1.7861366201433075,-0.1262581073405429,-0.1974841331146427,0.7112922907411874,0.6108463897124982,0.6979592727620012,0.6011376240091282,0.2188161224112028,0.2079101012337262,0.0134022458676185,0.0050731467475727,0.8979086814988984,0.8883498410512497,0.0230417836825561,0.0083290991200458,0.0218120423549532,0.0095588404476486,0.0106456710405025,0.0095588404476487,-1.1102230246251563e-16,-2.220446049250313e-16,0.0,,,,,,,,,,,,,
2021 external GOES17/16,69,4,hourly,2571,-0.7397024594804158,-0.5716200925048375,-0.0361616575254524,-0.1046969851520966,1.75479070201656,1.529194378933484,0.4898984043882456,0.3775089437758407,1.4492208944944156,0.2384532718418541,0.0282516820881129,0.0046970911328914,0.4137949740493256,0.3951978956132695,2.4165777327859574,0.0235545909552215,2.421535245305123,0.018597078436056,0.044942736384805,0.018597078436056,0.0,-1.1102230246251563e-16,-1.1102230246251563e-16,1.5172179904608092,0.7008609490214401,0.5380617990111132,1.362330323045304,0.6232739385501203,0.5424942629502101,0.6432689748847876,0.6286476720813253,0.0227296875402409,0.8846888997606658,0.5544809765713495,-0.1680823669755783,0.0685353276266441
2021 external GOES17/16,69,4,transition,246,2.4384158317712568,2.3141948161886403,-0.35543843462812,-0.1480718426942002,0.7239619993669731,0.6475119517623125,0.6915108302368839,0.6323043826775602,0.3479490131754587,0.3251041570726162,0.0154308607123766,0.0430009034502888,0.6910067854907449,0.7166078022195004,0.0476587382148415,-0.0275700427379121,0.0456897122056848,-0.0256010167287554,-0.0370488644486666,-0.0256010167287554,-1.0408340855860844e-17,1.1102230246251563e-16,0.0,2.582602131184686,0.9043491090545576,0.6498302629992346,2.4501039975961607,0.8088446410012349,0.6698733434193789,0.8312681790437698,0.8465269057859297,-0.0183559615619022,0.5081990270204958,0.491654403922444,0.1242210155826159,-0.2073665919339198
