uc_id,uc_name,lat,lon,region
6,Victoria,48.4470998712761,-123.353337755437,Northern America
195,Nanaimo,49.1992282439243,-123.986879344336,Northern America
358,Vancouver,49.2332799825293,-122.974178414087,Northern America
508,White Rock,49.0434437114444,-122.825408398704,Northern America
648,Santa Maria,34.9476286305729,-120.437161030889,Northern America
650,Langley City,49.1089371175956,-122.691393435621,Northern America
784,Santa Barbara,34.4227092293091,-119.714211609919,Northern America
912,Santa Cruz,36.9691560199041,-122.000884087763,Northern America
1032,Salinas,36.6880908374436,-121.640525927098,Northern America
1034,Kelowna,49.8854486436048,-119.450437772263,Northern America
1148,Oxnard,34.1909334869074,-119.183378636455,Northern America
1152,Lethbridge,49.6994976634608,-112.809212831506,Northern America
1257,Watsonville,36.9198341886474,-121.76435886268,Northern America
1361,Ventura,34.2723429367237,-119.247323067519,Northern America
1461,San Francisco,37.5560590967849,-122.132392891794,Northern America
1560,Camarillo,34.227622871393,-119.028319841404,Northern America
1656,San Rafael,37.9838060543463,-122.540181681561,Northern America
1748,Thousand Oaks,34.2054370522509,-118.859753767326,Northern America
1836,Petaluma,38.2485035696847,-122.629685763553,Northern America
1923,Simi Valley,34.2739555371981,-118.734367257886,Northern America
2007,Los Angeles,33.9858866483625,-118.002817143772,Northern America
2087,Santa Rosa,38.4381067360968,-122.72213277699,Northern America
2167,Pleasanton,37.7065555971307,-121.910062477279,Northern America
2246,Concord,37.9577713521034,-122.048034828234,Northern America
2325,Vallejo,38.1089905602311,-122.226579645289,Northern America
2400,Livermore,37.6866095062508,-121.751312792964,Northern America
2471,San Diego,32.7403801809868,-117.088128378439,Northern America
2541,Napa,38.308231275089,-122.301449539497,Northern America
2607,Antioch,38.0013754137538,-121.853457066441,Northern America
2671,Mission Viejo,33.6032067075097,-117.680726116274,Northern America
2799,Encinitas,33.059466005749,-117.270200991148,Northern America
2862,Oceanside,33.1719827066316,-117.342868169287,Northern America
2924,Fairfield,38.2607266452728,-122.026959066421,Northern America
2985,Brentwood,37.9609916845324,-121.713642784408,Northern America
3045,Escondido,33.1726178246213,-117.201264066164,Northern America
3104,Bakersfield,35.3608730013754,-119.04801894048,Northern America
3162,Tracy,37.7318905369148,-121.432219599548,Northern America
3218,Vacaville,38.3477465401217,-121.969154473338,Northern America
3273,Riverside,33.9153544047812,-117.479874030204,Northern America
3328,Manteca,37.8044315511829,-121.222667225541,Northern America
3383,Stockton,37.975390832999,-121.297922803037,Northern America
3541,Turlock,37.5056117185102,-120.851926598217,Northern America
3645,Hanford,36.338285825424,-119.652841809633,Northern America
3743,Merced,37.3101701805342,-120.477252178993,Northern America
3789,Davis,38.5527634802678,-121.739644952361,Northern America
3834,Lodi,38.1286924978892,-121.283107298614,Northern America
3923,Madera,36.9600534534292,-120.066526224278,Northern America
4008,Fresno,36.7876026628218,-119.771347720209,Northern America
4050,Woodland,38.6757363896493,-121.76796417763,Northern America
4092,Sacramento,38.5933336873671,-121.391662881117,Northern America
4172,Hemet,33.7574862144599,-116.958181511368,Northern America
4211,Porterville,36.0721334375192,-119.037528898373,Northern America
4249,Natoma Station,38.6677744518682,-121.148561860025,Northern America
4325,Palm Springs,33.8275310059352,-116.531792091578,Northern America
4363,Rocklin,38.8049122487546,-121.266526697213,Northern America
4401,Palm Desert,33.7560062933531,-116.403302695956,Northern America
4439,Indio,33.7213715438106,-116.25261472784,Northern America
4477,Chico,39.7444923584803,-121.835323895732,Northern America
4514,Yuma,32.6941508373814,-114.640506969737,Northern America
4551,Reno,39.5206213042833,-119.790215365281,Northern America
4588,Medford,42.3419889196774,-122.874019910418,Northern America
4699,Phoenix,33.5588987387121,-112.139832230551,Northern America
4736,Mesa,33.3573545048479,-111.821408282243,Northern America
4772,Eugene,44.0636006357657,-123.083106972364,Northern America
4843,Tucson,32.2324148999177,-110.904426490654,Northern America
4941,Portland,45.5262529560943,-122.667185297053,Northern America
4974,Tacoma,47.2195420777419,-122.471363771415,Northern America
5098,Seattle,47.6219345359103,-122.271883894175,Northern America
5128,Auburn,47.294784268223,-122.217792820285,Northern America
5158,Yakima,46.5917261096848,-120.541590964133,Northern America
5187,Nampa,43.5739192587935,-116.564067440702,Northern America
5216,Boise,43.618007468512,-116.294855761122,Northern America
5299,Spanish Fork,40.1032592222908,-111.636734893077,Northern America
5325,Bellingham,48.7465903185486,-122.474591817436,Northern America
5377,Salt Lake City,40.6520807287323,-111.92366649473,Northern America
5403,Wenatchee,47.4215732880327,-120.305622868748,Northern America
5428,South Valley,35.0797876493127,-106.710447349876,Northern America
5453,Albuquerque,35.116735599952,-106.577504226298,Northern America
5503,Bountiful,40.8775065383315,-111.892593449489,Northern America
5527,Layton,41.1045557722426,-112.016406383791,Northern America
5551,Ogden,41.2187251137501,-111.964994698228,Northern America
5575,Grand Junction,39.0848940438378,-108.520846509143,Northern America
5644,Midland,32.0050517103698,-102.108329263896,Northern America
5752,Lubbock,33.5511296116384,-101.896116533405,Northern America
5854,Mineral Palace,38.2576108435187,-104.623903157272,Northern America
5874,Amarillo,35.1836431750187,-101.861433811183,Northern America
5913,Colorado Springs,38.8733102213441,-104.770493180244,Northern America
5932,Denver,39.7230105499906,-104.97736581355,Northern America
5988,Boulder,40.0163988200191,-105.257339364697,Northern America
6006,Longmont,40.1718444360412,-105.111032705803,Northern America
6042,Loveland,40.4198867594313,-105.078357261018,Northern America
6060,Fort Collins,40.5498328127234,-105.07805332888,Northern America
6078,Greeley,40.4064829393895,-104.714725190787,Northern America
6457,Billings,45.7772045053366,-108.558299865807,Northern America
