year,step8,time_id,start_date,n_cities,n_hot,n_severe_hot,n_lower_severity_hot,mean_severity,sd_severity,end_date,previously_selected
2022,21,894,2022-06-10,182,55,18,13,56.31868131868132,25.834216917175887,2022-06-17,False
2022,22,895,2022-06-18,184,63,15,4,64.20132325141778,19.026399895910792,2022-06-25,False
2022,23,896,2022-06-26,175,41,21,0,74.13664596273291,16.5117974996419,2022-07-03,False
2022,24,897,2022-07-04,181,89,27,17,63.595964448714874,22.396058188824583,2022-07-11,False
2022,25,898,2022-07-12,183,141,36,9,64.95604656688049,23.69013685844252,2022-07-19,True
2022,26,899,2022-07-20,184,154,39,28,70.6758034026465,20.65606762063423,2022-07-27,False
2022,27,900,2022-07-28,183,155,24,51,59.17082442385365,22.28370514042352,2022-08-04,True
2022,28,901,2022-08-05,182,135,12,54,55.876731963688485,24.18391885627204,2022-08-12,False
2022,29,902,2022-08-13,183,71,2,12,56.52173913043479,23.821655716634545,2022-08-20,False
2022,30,903,2022-08-21,165,54,31,6,53.41238471673255,27.6987744877047,2022-08-28,False
2022,31,904,2022-08-29,175,66,18,1,58.95652173913044,24.731836433041455,2022-09-05,False
2023,22,941,2023-06-18,175,23,1,8,49.0807453416149,26.496405968387304,2023-06-25,False
2023,23,942,2023-06-26,183,66,13,10,45.212639581848414,27.755374387553367,2023-07-03,False
2023,24,943,2023-07-04,183,96,19,48,50.03563791874554,23.26520650461112,2023-07-11,False
2023,25,944,2023-07-12,181,149,2,77,47.2255584914725,21.61327569665531,2023-07-19,False
2023,26,945,2023-07-20,184,169,18,85,53.99338374291115,22.344336843627364,2023-07-27,True
2023,27,946,2023-07-28,179,114,25,36,52.08889968423609,26.046584874337903,2023-08-04,False
2023,28,947,2023-08-05,183,93,17,20,50.73651698740793,24.13945853382242,2023-08-12,False
2023,29,948,2023-08-13,183,102,27,43,46.22238061297221,29.87133278693627,2023-08-20,True
2023,30,949,2023-08-21,184,124,36,36,58.90831758034026,27.11896993879092,2023-08-28,False
2023,31,950,2023-08-29,184,46,22,12,51.03969754253308,28.086212604113364,2023-09-05,False
2024,22,987,2024-06-17,182,97,6,3,59.280936454849495,19.71729913414146,2024-06-24,False
2024,23,988,2024-06-25,183,99,16,32,60.23996198622,20.55901630746395,2024-07-02,True
2024,24,989,2024-07-03,183,137,0,51,54.50225706818721,15.614965880294646,2024-07-10,False
2024,25,990,2024-07-11,179,135,4,48,47.38887539470488,20.995310860134577,2024-07-18,False
2024,26,991,2024-07-19,164,75,1,18,45.32078472958643,20.25129237668418,2024-07-26,False
2024,27,992,2024-07-27,182,136,1,82,40.27711419015767,23.559039025587463,2024-08-03,False
2024,28,993,2024-08-04,179,128,3,90,40.33276657760505,18.31934438220147,2024-08-11,False
2024,29,994,2024-08-12,184,64,1,46,39.26039697542533,18.194182949062952,2024-08-19,False
2024,30,995,2024-08-20,183,43,2,9,43.41886433832264,20.89303269019392,2024-08-27,False
2024,31,996,2024-08-28,182,50,7,32,45.102723363592936,21.83283529478482,2024-09-04,False
