year,step8,time_id,concurrent_represented_population,concurrent_cities,inversion_threshold_c
2003,2,1,1601477.32317,3,0.0
2003,3,2,2295731.22756,4,0.0
2003,4,3,4448982.08551,5,0.0
2003,5,4,11427209.86201,12,0.0
2003,6,5,11125081.40939,12,0.0
2003,7,6,50276.8408,1,0.0
2003,8,7,11446750.314289998,9,0.0
2003,9,8,29749088.77543,5,0.0
2003,10,9,378530.3996,3,0.0
2003,11,10,712092.2586000001,2,0.0
2003,12,11,276403.3823,2,0.0
2003,13,12,1912806.81562,7,0.0
2003,14,13,245772.33822,3,0.0
2003,15,14,8024612.1665,9,0.0
2003,16,15,3377941.99953,14,0.0
2003,17,16,22393751.66802,17,0.0
2003,18,17,73117857.15961,20,0.0
2003,19,18,21606717.7077,19,0.0
2003,20,19,41465968.47412,49,0.0
2003,21,20,24920649.05572,68,0.0
2003,22,21,5986888.25939,12,0.0
2003,23,22,7291728.44892,25,0.0
2003,24,23,3350705.9324000003,7,0.0
2003,25,24,50492699.958699994,70,0.0
2003,26,25,22389397.98311,65,0.0
2003,27,26,18635397.77084,40,0.0
2003,28,27,53228877.0945,151,0.0
2003,29,28,44447004.86792,144,0.0
2003,30,29,25490859.93425,75,0.0
2003,31,30,15859776.669879999,12,0.0
2003,33,32,2460212.7384,8,0.0
2003,35,34,129051.0553,1,0.0
2003,36,35,385866.3501,3,0.0
2003,38,37,230942.30177,2,0.0
2003,40,39,182101.3636,1,0.0
2003,41,40,2091238.61187,4,0.0
2003,42,41,84221.02736,1,0.0
2003,44,43,11012645.72861,6,0.0
2003,45,44,273471.00112000003,3,0.0
2004,1,46,278356.3117,1,0.0
2004,2,47,4822188.85941,4,0.0
2004,3,48,910909.7178,1,0.0
2004,4,49,910909.7178,1,0.0
2004,6,51,331173.97525,3,0.0
2004,9,54,4872845.5347,2,0.0
2004,10,55,25274153.800049998,9,0.0
2004,11,56,10182529.23956,7,0.0
2004,12,57,20900159.24948,5,0.0
2004,13,58,1491927.6951000001,2,0.0
2004,14,59,7221407.51525,7,0.0
2004,15,60,7993327.032799999,5,0.0
2004,16,61,91740.46784,1,0.0
2004,17,62,6625828.08381,11,0.0
2004,18,63,29713468.8083,11,0.0
2004,19,64,23871198.67214,3,0.0
2004,20,65,148039.1977,1,0.0
2004,21,66,1443140.22974,3,0.0
2004,22,67,4019927.9733,3,0.0
2004,23,68,55058681.14771,18,0.0
2004,24,69,5089396.29741,11,0.0
2004,25,70,7480577.151,7,0.0
2004,26,71,33257851.34607,36,0.0
2004,27,72,22224921.47874,29,0.0
2004,28,73,9971698.540229999,8,0.0
2004,29,74,22094475.518129997,23,0.0
2004,30,75,13725513.880749999,6,0.0
2004,31,76,1949859.502,1,0.0
2004,37,82,1192036.5775,3,0.0
2004,38,83,924566.4405,1,0.0
2004,40,85,51251.53819,1,0.0
2004,42,87,298992.6473,1,0.0
2005,1,92,3956276.67997,4,0.0
2005,2,93,4116694.92252,3,0.0
2005,3,94,174023.2926,1,0.0
2005,4,95,246785.78648999997,2,0.0
2005,6,97,78333.67209,1,0.0
2005,7,98,8709649.80314,26,0.0
2005,8,99,1131185.2352,6,0.0
2005,9,100,6542474.35915,17,0.0
2005,10,101,1416355.0991,2,0.0
2005,11,102,2334597.8544,4,0.0
2005,12,103,2676978.9762000004,2,0.0
2005,13,104,16294906.16051,6,0.0
2005,14,105,2329292.4256,4,0.0
2005,15,106,17289784.57407,5,0.0
2005,16,107,30209496.63255,9,0.0
2005,17,108,581362.3793,2,0.0
2005,18,109,44067672.86249,21,0.0
2005,19,110,13330094.463930001,19,0.0
2005,20,111,60827530.489199996,55,0.0
2005,21,112,101433504.95415999,59,0.0
2005,22,113,55555511.12754,38,0.0
2005,23,114,34607175.20229,60,0.0
2005,24,115,15888721.06541,22,0.0
2005,25,116,17486370.88414,19,0.0
2005,26,117,1648231.91683,9,0.0
2005,27,118,3939089.85287,17,0.0
2005,28,119,23801048.85591,44,0.0
2005,29,120,4084319.19956,22,0.0
2005,30,121,15257908.827,2,0.0
2005,31,122,15574948.13933,14,0.0
2005,32,123,9619916.909319999,18,0.0
2005,33,124,8032499.963129999,6,0.0
2005,34,125,879631.625,1,0.0
2005,35,126,382676.5664,2,0.0
2005,36,127,310875.38102000003,2,0.0
2005,37,128,643486.50539,2,0.0
2005,38,129,596285.3981999999,3,0.0
2005,41,132,4558800.68119,6,0.0
2005,42,133,1106247.4081899999,2,0.0
2005,43,134,1616164.3207999999,2,0.0
2005,44,135,744216.46127,7,0.0
2005,45,136,368712.14559,5,0.0
2005,46,137,5525662.63209,10,0.0
2006,1,138,2412598.2165200002,8,0.0
2006,2,139,784608.41923,4,0.0
2006,3,140,3764382.9604700003,10,0.0
2006,4,141,1838423.85565,9,0.0
2006,5,142,1942300.46272,7,0.0
2006,6,143,6780644.16377,7,0.0
2006,7,144,2532633.47656,5,0.0
2006,8,145,672419.1016,2,0.0
2006,10,147,7521256.2152,3,0.0
2006,11,148,422281.83823,3,0.0
2006,12,149,1359616.605,1,0.0
2006,13,150,1359616.605,1,0.0
2006,15,152,510651.7887,1,0.0
2006,16,153,4217374.1968,4,0.0
2006,17,154,1906568.82815,5,0.0
2006,21,158,4585533.0620800005,9,0.0
2006,22,159,19380377.13592,26,0.0
2006,23,160,6987743.88363,27,0.0
2006,24,161,16154540.87525,35,0.0
2006,25,162,23107480.61691,57,0.0
2006,26,163,45893844.39427,122,0.0
2006,27,164,35884429.68675,90,0.0
2006,28,165,9380245.60101,26,0.0
2006,29,166,16775577.08828,27,0.0
2006,30,167,9957525.43508,22,0.0
2006,31,168,13933765.39672,8,0.0
2006,32,169,223479.33423,3,0.0
2006,35,172,10488435.82364,2,0.0
2006,36,173,46625824.70647,12,0.0
2006,37,174,41197272.522,3,0.0
2006,38,175,239737.844,1,0.0
2006,39,176,9292604.24387,4,0.0
2006,40,177,1546292.9341,4,0.0
2006,41,178,10839169.562800001,9,0.0
2006,42,179,7625477.2011,5,0.0
2006,43,180,1888199.564,1,0.0
2006,44,181,2235116.4309,3,0.0
2006,45,182,51796.12479,1,0.0
2007,2,185,4256148.08558,4,0.0
2007,3,186,4159599.51102,3,0.0
2007,4,187,15102407.73872,7,0.0
2007,5,188,4910681.47412,6,0.0
2007,6,189,56382.13578,1,0.0
2007,7,190,12822836.071630001,7,0.0
2007,8,191,11471934.0836,7,0.0
2007,9,192,5159688.0216,3,0.0
2007,10,193,5967603.65868,6,0.0
2007,11,194,1639500.69532,4,0.0
2007,12,195,12842376.887640001,8,0.0
2007,13,196,938328.4515,1,0.0
2007,16,199,1025061.26444,3,0.0
2007,17,200,428170.4652,2,0.0
2007,18,201,2165072.4613,5,0.0
2007,19,202,8578384.77519,21,0.0
2007,20,203,14103493.70167,18,0.0
2007,21,204,3849813.55041,7,0.0
2007,22,205,4008349.45314,17,0.0
2007,23,206,21924433.98328,26,0.0
2007,24,207,4472880.17933,17,0.0
2007,25,208,26774390.6164,32,0.0
2007,26,209,26712772.359360002,88,0.0
2007,27,210,36484980.51529,51,0.0
2007,28,211,13974713.82362,40,0.0
2007,29,212,7027758.53631,20,0.0
2007,30,213,52855607.11618,31,0.0
2007,31,214,3399967.01,12,0.0
2007,32,215,561946.8495,3,0.0
2007,33,216,507945.2871,1,0.0
2007,34,217,2566134.3155300003,5,0.0
2007,35,218,2202367.65147,3,0.0
2007,36,219,1859397.5281099998,12,0.0
2007,37,220,440606.83979,4,0.0
2007,39,222,2118842.7139,3,0.0
2007,40,223,1099676.6741,2,0.0
2007,41,224,983295.5776,1,0.0
2007,42,225,385237.98227,4,0.0
2007,44,227,278356.3117,1,0.0
2007,46,229,106147.1236,1,0.0
2008,2,231,426629.95157,2,0.0
2008,4,233,75159.12366,1,0.0
2008,5,234,1888840.8103999998,3,0.0
2008,6,235,355235.9665,1,0.0
2008,7,236,5676582.2738,5,0.0
2008,8,237,1147656.32711,6,0.0
2008,9,238,4591708.288699999,3,0.0
2008,10,239,5184743.7284699995,4,0.0
2008,11,240,7642801.0049,3,0.0
2008,15,244,2059390.24499,7,0.0
2008,16,245,7758124.5024999995,6,0.0
2008,18,247,4523599.59721,8,0.0
2008,20,249,2705444.09227,6,0.0
2008,21,250,4955027.5417599995,10,0.0
2008,22,251,4667510.8357,2,0.0
2008,23,252,6300956.4222099995,12,0.0
2008,24,253,4009363.3337,3,0.0
2008,25,254,5073922.58174,9,0.0
2008,26,255,11411379.609480001,16,0.0
2008,27,256,20482223.99204,16,0.0
2008,28,257,19251947.38768,21,0.0
2008,29,258,14102568.91285,5,0.0
2008,30,259,10585768.30391,17,0.0
2008,31,260,1821630.02862,6,0.0
2008,32,261,1292033.86823,5,0.0
2008,33,262,741080.8282999999,2,0.0
2008,34,263,797409.32264,4,0.0
2008,35,264,412535.7956,2,0.0
2008,36,265,879631.625,1,0.0
2008,38,267,379554.72239999997,2,0.0
2008,39,268,2227893.38585,10,0.0
2008,40,269,253625.5111,1,0.0
2008,41,270,253625.5111,1,0.0
2008,42,271,986937.03058,3,0.0
2008,43,272,258392.14835,2,0.0
2008,44,273,460656.06868,2,0.0
2008,45,274,1078591.15912,6,0.0
2008,46,275,714099.2257600001,3,0.0
