model,outcome,term,estimate,std_error_cluster_city,ci95_low,ci95_high,t_stat,p_value,n_obs,n_cities,n_times
minimum_5_built_pixels,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.46403223724053405,0.026797532459929142,-0.5165554008619951,-0.41150907361907296,-17.3162300646304,3.548575354770157e-67,591401,2769,1057
minimum_5_built_pixels,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.5133891087420559,0.03210080284332389,-0.5763066823149707,-0.45047153516914107,-15.993030182073069,1.429073843940164e-57,591401,2769,1057
minimum_10_built_pixels,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.43426231701556284,0.03342879543469087,-0.49978275606755695,-0.3687418779635687,-12.990666022171572,1.382189567502747e-38,445707,2135,1057
minimum_10_built_pixels,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.47669740546261175,0.03997536315945245,-0.5550491172551385,-0.39834569367008493,-11.924779859064103,8.791611374308864e-33,445707,2135,1057
minimum_20_built_pixels,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.4327099165872382,0.04520863864827872,-0.5213188483378645,-0.3441009848366119,-9.571398952171572,1.054687602567733e-21,269122,1326,1057
minimum_20_built_pixels,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.4686199821564442,0.053930240680821466,-0.5743232538908543,-0.3629167104220341,-8.68937309087689,3.6444495531231076e-18,269122,1326,1057
maximum_0.25_day_night_count_imbalance,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.4567883256642725,0.026521404747609844,-0.5087702789695878,-0.4048063723589572,-17.2233835278065,1.773125234628784e-66,514050,2769,1057
maximum_0.25_day_night_count_imbalance,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.5100156938151791,0.03214564379979553,-0.5730211556627783,-0.44701023196757983,-15.865779419182862,1.0935147991422178e-56,514050,2769,1057
maximum_0.10_day_night_count_imbalance,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.4507832724562127,0.02649934623122846,-0.5027219910694205,-0.39884455384300493,-17.011109199553836,6.793923756412669e-65,466670,2769,1057
maximum_0.10_day_night_count_imbalance,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.49809853012713823,0.0321733955803586,-0.5611583854646411,-0.43503867478963537,-15.481689798114449,4.611976973771962e-54,466670,2769,1057
maximum_0.05_day_night_count_imbalance,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.4484764635739635,0.02653949255905431,-0.5004938689897099,-0.396459058158217,-16.89845661427161,4.6183733659684594e-64,438922,2769,1057
maximum_0.05_day_night_count_imbalance,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.49561729091353474,0.03237032658627299,-0.5590631310226298,-0.43217145080443964,-15.310852350921504,6.471031960967028e-53,438922,2769,1057
