high_green,analysis_state,n_paired_intervals,n_cities,mean_core_decay_1e4_h,mean_ring_decay_1e4_h,mean_differential_decay_1e4_h,sample,weighting,se_differential_decay_1e4_h
0,dhd,126353,2727,33.27021475739507,34.002317495057966,-0.7321027376628949,all_intervals,interval,
0,extreme_dhd,93532,2727,33.19032542591745,33.82624779143512,-0.6359223655176729,all_intervals,interval,
0,mld,330230,2727,30.041229296544294,30.252444471162967,-0.21121517461866304,all_intervals,interval,
1,dhd,141355,2769,34.5185173312474,34.673096014566156,-0.15457868331874605,all_intervals,interval,
1,extreme_dhd,110967,2769,35.09160077750251,35.39457932805496,-0.3029785505524457,all_intervals,interval,
1,mld,371520,2769,30.926962574439813,30.20334446872101,0.7236181057188058,all_intervals,interval,
0,dhd,126353,2727,32.85770566428044,33.48981084138989,-0.6321051771094484,all_intervals,city,0.06880324800709683
0,extreme_dhd,93532,2727,33.03561641242061,33.71827349626043,-0.682657083839817,all_intervals,city,0.07107078572705607
0,mld,330230,2727,29.35254831509036,29.43726411736371,-0.08471580227335032,all_intervals,city,0.05493485556023085
1,dhd,141355,2769,34.438740469935304,34.55574037502018,-0.1169999050848787,all_intervals,city,0.059784272674540645
1,extreme_dhd,110967,2769,35.24006359374984,35.52048513571815,-0.2804215419683104,all_intervals,city,0.06189194050572054
1,mld,371520,2769,30.714108907383984,29.957858185980708,0.7562507214032778,all_intervals,city,0.048664050618458674
0,dhd,23579,2667,33.217520206455724,33.54001528669961,-0.3224950802438849,true_night_heat_intervals,interval,
0,extreme_dhd,21329,2658,33.0693776581364,33.230897206350974,-0.16151954821457895,true_night_heat_intervals,interval,
0,mld,16946,2544,28.71845976320922,28.129983515609986,0.5884762475992344,true_night_heat_intervals,interval,
1,dhd,28679,2769,35.38962278089299,35.088203961232345,0.30141881966065254,true_night_heat_intervals,interval,
1,extreme_dhd,27799,2764,35.91004999148575,35.75958379902139,0.1504661924643611,true_night_heat_intervals,interval,
1,mld,16912,2649,30.122328750764716,28.414334315596186,1.7079944351685246,true_night_heat_intervals,interval,
0,dhd,23579,2667,32.70957932453953,32.95295310052404,-0.2433737759845056,true_night_heat_intervals,city,0.08245007197676198
0,extreme_dhd,21329,2658,33.00790734598367,33.23926791011739,-0.23136056413372802,true_night_heat_intervals,city,0.08291541700804064
0,mld,16946,2544,29.05355771789985,28.7858955951191,0.26766212278075097,true_night_heat_intervals,city,0.08541616101924657
1,dhd,28679,2769,35.067630715684906,34.669654560669684,0.39797615501522116,true_night_heat_intervals,city,0.07245551937559604
1,extreme_dhd,27799,2764,35.69078841361545,35.501914333275415,0.1888740803400375,true_night_heat_intervals,city,0.07304774475495389
1,mld,16912,2649,31.13731828937139,29.762007965819926,1.3753103235514634,true_night_heat_intervals,city,0.07821341787438824
