model,outcome,term,estimate,std_error_cluster_city,ci95_low,ci95_high,t_stat,p_value,n_obs,n_cities,n_times,subgroup_type,subgroup
region_Australia and New Zealand,differential_decay_1e4_h,dhd_x_built_form_storage_score,-2.7668504955765147,1.5193050568538073,-5.744688407009978,0.2109874158569478,-1.8211289978236085,0.06858725026678981,5348,23,972,UN_SDG_region,Australia and New Zealand
region_Australia and New Zealand,differential_decay_1e4_h,extreme_x_built_form_storage_score,-3.0967134630807727,1.7438820726690847,-6.514722325512178,0.3212953993506331,-1.7757585284084736,0.07577272590249903,5348,23,972,UN_SDG_region,Australia and New Zealand
region_Central and Southern Asia,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.30482838565727727,0.04670320889365411,-0.3963666750888393,-0.2132900962257152,-6.526925941028785,6.713321917336599e-11,105404,454,1056,UN_SDG_region,Central and Southern Asia
region_Central and Southern Asia,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.21011042191937424,0.06200696741890066,-0.3316440780604195,-0.08857676577832894,-3.3884969813139,0.0007027680243215128,105404,454,1056,UN_SDG_region,Central and Southern Asia
region_Eastern and South-Eastern Asia,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.3604426598356977,0.05812439436209139,-0.4743664727853968,-0.24651884688599857,-6.201228654363024,5.602404739744532e-10,163622,746,1056,UN_SDG_region,Eastern and South-Eastern Asia
region_Eastern and South-Eastern Asia,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.45585956919119497,0.06831506140375503,-0.5897570895425548,-0.32196204883983515,-6.672899940716998,2.5079739696361572e-11,163622,746,1056,UN_SDG_region,Eastern and South-Eastern Asia
region_Europe,differential_decay_1e4_h,dhd_x_built_form_storage_score,-1.0146280346246346,0.13040354159846376,-1.2702189761576235,-0.7590370930916457,-7.780678516760372,7.213659512747086e-15,136831,641,1056,UN_SDG_region,Europe
region_Europe,differential_decay_1e4_h,extreme_x_built_form_storage_score,-1.2930230488898948,0.16183182419684355,-1.6102134243157082,-0.9758326734640814,-7.989918270445564,1.3502824062697336e-15,136831,641,1056,UN_SDG_region,Europe
region_Latin America and the Caribbean,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.83737668359341,0.10824116545663387,-1.0495293678884123,-0.6252239992984077,-7.736212743652502,1.0242202224587566e-14,88717,366,1057,UN_SDG_region,Latin America and the Caribbean
region_Latin America and the Caribbean,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.8126017650211315,0.11592750526650175,-1.039819675343475,-0.5853838546987881,-7.0095682914341095,2.390545877043277e-12,88717,366,1057,UN_SDG_region,Latin America and the Caribbean
region_Northern Africa and Western Asia,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.7818759426630987,0.1706149999165969,-1.1162813424996285,-0.4474705428265688,-4.582691692086331,4.590285826745173e-06,17453,80,1047,UN_SDG_region,Northern Africa and Western Asia
region_Northern Africa and Western Asia,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.87151532602578,0.1781702343457168,-1.220728985343385,-0.522301666708175,-4.891475443281478,1.0008288204502822e-06,17453,80,1047,UN_SDG_region,Northern Africa and Western Asia
region_Northern America,differential_decay_1e4_h,dhd_x_built_form_storage_score,-1.0882715091731587,0.2112162213475726,-1.502255303014401,-0.6742877153319164,-5.152404972638555,2.5716693852198964e-07,58599,247,1056,UN_SDG_region,Northern America
region_Northern America,differential_decay_1e4_h,extreme_x_built_form_storage_score,-1.5811472948039378,0.24495550752004142,-2.061260089543219,-1.1010345000646566,-6.454834638386621,1.0833713258777566e-10,58599,247,1056,UN_SDG_region,Northern America
region_Sub-Saharan Africa,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.2453475164354492,0.14124402788938845,-0.5221858110986506,0.031490778227752175,-1.737047010777593,0.08237887332062524,47868,212,1056,UN_SDG_region,Sub-Saharan Africa
region_Sub-Saharan Africa,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.12616234041608407,0.16350827250847552,-0.4466385545326961,0.19431387370052797,-0.7715960696089208,0.44035370287816566,47868,212,1056,UN_SDG_region,Sub-Saharan Africa
period_2003-2013,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.47345287015249754,0.03307187237429728,-0.5382737400061202,-0.40863200029887486,-14.315877395573603,1.741522370370244e-46,297742,2769,506,period,2003-2013
period_2003-2013,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.46811211588298013,0.03965222591062142,-0.5458304786677981,-0.39039375309816216,-11.805443581859286,3.6585648234878975e-32,297742,2769,506,period,2003-2013
period_2014-2025,differential_decay_1e4_h,dhd_x_built_form_storage_score,-0.4693185483304135,0.032021601831799175,-0.5320808879207398,-0.4065562087400871,-14.65631078656268,1.2276439017777153e-48,326100,2769,551,period,2014-2025
period_2014-2025,differential_decay_1e4_h,extreme_x_built_form_storage_score,-0.5442062736005979,0.039515042506023175,-0.6216557569124034,-0.46675679028879247,-13.77212927248265,3.7499550101903055e-43,326100,2769,551,period,2014-2025
