high_uc_id,low_uc_id,un_sdg_reg,wb_income,population_quintile,night_temperature_tercile,soil_moisture_tercile,match_distance
1835,647,Australia and New Zealand,High income,0,0,1,0.7057285993615849
2086,1145,Australia and New Zealand,High income,0,1,0,1.303129538393935
2606,3161,Australia and New Zealand,High income,0,1,0,0.9392647364300085
2861,2923,Australia and New Zealand,High income,0,1,0,0.10749037468311998
2166,909,Australia and New Zealand,High income,1,1,0,0.7908586590832914
2245,3217,Australia and New Zealand,High income,1,1,0,1.3716149812778449
1254,1559,Australia and New Zealand,High income,2,1,0,1.0542551337504602
498,1459,Australia and New Zealand,High income,4,1,0,2.001916698730761
7033,162,Central and Southern Asia,Lower Middle,0,0,2,1.35354626428512
6422,5467,Central and Southern Asia,Lower Middle,0,1,0,0.6911025278772284
7073,2846,Central and Southern Asia,Lower Middle,0,1,0,1.280072458471293
6995,11386,Central and Southern Asia,Lower Middle,0,1,1,3.701863593120584
8066,2388,Central and Southern Asia,Lower Middle,0,1,1,1.7517114410554822
11618,11584,Central and Southern Asia,Lower Middle,0,1,2,1.8540757941690496
10314,10842,Central and Southern Asia,Lower Middle,0,2,0,0.5795889193322057
9848,10072,Central and Southern Asia,Lower Middle,0,2,0,0.9430744819904617
11314,11282,Central and Southern Asia,Lower Middle,0,2,1,0.5778620850561995
11384,2851,Central and Southern Asia,Lower Middle,0,2,1,0.3565791584567444
11542,4580,Central and Southern Asia,Lower Middle,0,2,1,0.8549236260249973
3634,3530,Central and Southern Asia,Lower Middle,0,2,1,0.2428932649756913
7466,5368,Central and Southern Asia,Lower Middle,0,2,1,0.8739211332695167
1910,6264,Central and Southern Asia,Lower Middle,0,2,2,0.5953045030805811
1238,3313,Central and Southern Asia,Lower Middle,1,0,1,3.210945713132264
1013,3028,Central and Southern Asia,Lower Middle,1,0,2,1.8329853713049427
166,6616,Central and Southern Asia,Lower Middle,1,1,0,1.1416082838015642
3954,1987,Central and Southern Asia,Lower Middle,1,1,0,1.523626324850446
4867,3088,Central and Southern Asia,Lower Middle,1,1,0,1.91478395402931
631,3148,Central and Southern Asia,Lower Middle,1,1,0,1.9283461865506257
6899,1441,Central and Southern Asia,Lower Middle,1,1,0,1.795993846319074
7389,7176,Central and Southern Asia,Lower Middle,1,1,0,1.256568277789402
1015,11588,Central and Southern Asia,Lower Middle,1,1,1,2.0258456054163707
2376,1726,Central and Southern Asia,Lower Middle,1,1,1,1.8672187568317409
8940,1989,Central and Southern Asia,Lower Middle,1,1,1,2.608495426412244
895,4897,Central and Southern Asia,Lower Middle,1,1,1,1.9144715027751842
11624,11498,Central and Southern Asia,Lower Middle,1,1,2,0.873275281465948
3994,11502,Central and Southern Asia,Lower Middle,1,1,2,2.188619172259189
10262,10308,Central and Southern Asia,Lower Middle,1,2,0,0.24148758334410478
6617,9542,Central and Southern Asia,Lower Middle,1,2,0,0.8928666560938088
7111,6982,Central and Southern Asia,Lower Middle,1,2,0,0.6893065622740724
7473,5845,Central and Southern Asia,Lower Middle,1,2,0,0.34738241369928224
