model,outcome,term,estimate,std_error_cluster_city,ci95_low,ci95_high,t_stat,p_value,n_obs,n_cities,n_times,p_value_holm_within_model
dhd_duration_raw_night_contrast,raw_night_contrast,raw_day_contrast,0.0454547450550218,0.0031284046103702435,0.03932307201869612,0.05158641809134747,14.529688680404506,7.857672830531798e-48,252322,2769,1057,4.714603698319078e-47
dhd_duration_raw_night_contrast,raw_night_contrast,z_t2m_true_night_pct_rank,0.029944017355272426,0.005311464486821842,0.019533546961101617,0.04035448774944324,5.637619799504614,1.7241665408788644e-08,252322,2769,1057,6.896666163515458e-08
dhd_duration_raw_night_contrast,raw_night_contrast,z_vpd_pct,0.06547473787155626,0.011303064120657444,0.04332073219506767,0.08762874354804485,5.7926538478973,6.928280980508625e-09,252322,2769,1057,3.464140490254313e-08
dhd_duration_raw_night_contrast,raw_night_contrast,z_rzsm_pct,-0.043048141127867395,0.014140692807748751,-0.07076389903105496,-0.015332383224679842,-3.0442738353157686,0.0023324272989231833,252322,2769,1057,0.0046648545978463666
dhd_duration_raw_night_contrast,raw_night_contrast,duration_excess_capped,0.010121206827589803,0.0020781987541399942,0.006047937269475414,0.014194476385704192,4.870182318908274,1.1149532394842689e-06,252322,2769,1057,3.3448597184528066e-06
dhd_duration_raw_night_contrast,raw_night_contrast,duration_x_storage,0.005554443071518809,0.0019049515213490356,0.0018207380896746997,0.009288148053362918,2.9157923491855064,0.0035478654326215947,252322,2769,1057,0.0046648545978463666
dhd_duration_night_anomaly_contrast,night_anomaly_contrast,day_anomaly_contrast,0.021959513609425333,0.002597665776019123,0.016868088688427853,0.027050938530422813,8.453556193467621,2.8256184985233805e-17,252322,2769,1057,1.6953710991140283e-16
dhd_duration_night_anomaly_contrast,night_anomaly_contrast,z_t2m_true_night_pct_rank,-0.01983194063004737,0.003301537385792923,-0.0263029539062015,-0.013360927353893243,-6.006880526444312,1.891267731689647e-09,252322,2769,1057,7.565070926758588e-09
dhd_duration_night_anomaly_contrast,night_anomaly_contrast,z_vpd_pct,0.08910719000009812,0.010955212297552643,0.06763497389689493,0.1105794061033013,8.133771174841073,4.161377138587251e-16,252322,2769,1057,2.0806885692936257e-15
dhd_duration_night_anomaly_contrast,night_anomaly_contrast,z_rzsm_pct,-0.049354878803628585,0.013493466821188098,-0.07580207377315726,-0.022907683834099916,-3.657687046454893,0.0002545015236586971,252322,2769,1057,0.0007635045709760913
dhd_duration_night_anomaly_contrast,night_anomaly_contrast,duration_excess_capped,0.0010711054890924034,0.0018074159517157125,-0.002471429776270393,0.0046136407544552,0.5926170387484093,0.5534374734913832,252322,2769,1057,0.5678184246575264
dhd_duration_night_anomaly_contrast,night_anomaly_contrast,duration_x_storage,-0.0016800587963441591,0.0015678348910586936,-0.004753015182819198,0.0013928975901308803,-1.0715789053588962,0.2839092123287632,252322,2769,1057,0.5678184246575264
dhd_duration_differential_decay_1e4_h,differential_decay_1e4_h,z_t2m_true_night_pct_rank,0.3146680460749043,0.029878280589128503,0.2561066161202124,0.37322947602959616,10.531665138368078,6.173267057880995e-26,252322,2769,1057,3.0866335289404977e-25
dhd_duration_differential_decay_1e4_h,differential_decay_1e4_h,z_vpd_pct,-0.2496081027849103,0.04894307963885788,-0.34553653887707175,-0.15367966669274885,-5.099967240041356,3.3971227366172363e-07,252322,2769,1057,3.3971227366172363e-07
dhd_duration_differential_decay_1e4_h,differential_decay_1e4_h,z_rzsm_pct,0.48688093010889116,0.06281309798105908,0.3637672580660154,0.6099946021517669,7.7512643980035385,9.098202454026927e-15,252322,2769,1057,3.639280981610771e-14
dhd_duration_differential_decay_1e4_h,differential_decay_1e4_h,duration_excess_capped,-0.07177236497331589,0.01013058823599155,-0.09162831791585933,-0.05191641203077245,-7.084718409373889,1.3932731252715646e-12,252322,2769,1057,4.179819375814694e-12
dhd_duration_differential_decay_1e4_h,differential_decay_1e4_h,duration_x_storage,-0.05190662643377864,0.009438820876822669,-0.07040671535235107,-0.03340653751520621,-5.499270206645943,3.813663480397261e-08,252322,2769,1057,7.627326960794523e-08
dhd_duration_inversion_0p0,inversion_0p0,z_t2m_true_night_pct_rank,-0.003628928479311678,0.0014276443385110975,-0.006427111382793429,-0.0008307455758299271,-2.541899534373049,0.011025185888334697,257924,2769,1058,0.011025185888334697
