uc_id,share_intervals_sync_positive_burden_q95,mean_tb_night_anom_during_sync_positive_q95,total_weighted_burden_q95,n_sync_positive_intervals_q95,mean_t2m_c,mean_ring_veg,country,wb_income,un_sdg_reg,population_2025,developing_economy,baseline_heat_tertile,baseline_veg_tertile
1000,0.02551984877126654,1.5804124519826233,2224509.125987522,27,15.914209270056668,1052.430056710775,Azerbaijan,Upper Middle,Northern Africa and Western Asia,52131.47162,1,middle,middle
10001,0.03969754253308128,2.6959236522391254,23172236.06312796,42,15.08981272276906,1013.6068052930057,China,Upper Middle,Eastern and South-Eastern Asia,204649.6776,1,middle,middle
10003,0.043478260869565216,2.836754034785892,36352736.39962097,46,17.54773037245242,1034.2939508506615,China,Upper Middle,Eastern and South-Eastern Asia,278584.9138,1,middle,middle
10006,0.024574669187145556,0.7282765954946679,14503038.150322167,26,26.919688541905607,1245.906427221172,India,Lower Middle,Central and Southern Asia,765930.3664,1,hotter,higher_veg
10008,0.027410207939508508,1.4587846792035843,161286690.72304565,29,25.63795368649939,1150.2570888468808,India,Lower Middle,Central and Southern Asia,3812495.5,1,hotter,middle
10019,0.04064272211720227,3.2981082898922143,22832755.259852618,43,16.123535534234364,982.7731568998109,China,Upper Middle,Eastern and South-Eastern Asia,160999.6585,1,middle,lower_veg
10023,0.03213610586011342,2.7770716881474677,91122859.14014038,34,19.214031518496643,1075.4782608695652,China,Upper Middle,Eastern and South-Eastern Asia,965075.588,1,middle,middle
10027,0.036862003780718335,3.489241506277092,104920203.15014462,39,18.02231750122523,1048.6871455576559,China,Upper Middle,Eastern and South-Eastern Asia,771016.1691,1,middle,middle
10029,0.04158790170132325,2.9537833956740474,105602234.14311442,44,17.24530747984124,1032.6266540642723,China,Upper Middle,Eastern and South-Eastern Asia,812534.4531,1,middle,middle
10041,0.035916824196597356,2.9591941312265386,54008359.22131253,38,17.7013236553678,980.3081285444234,China,Upper Middle,Eastern and South-Eastern Asia,480290.4264,1,middle,lower_veg
10043,0.04158790170132325,3.1260702361707575,16994739.594336055,44,15.131001606523713,902.804347826087,China,Upper Middle,Eastern and South-Eastern Asia,123555.7913,1,middle,lower_veg
10050,0.020793950850661626,0.75689968596118,3211169.7641018066,22,27.92695617976248,968.8034026465028,India,Lower Middle,Central and Southern Asia,192842.2811,1,hotter,lower_veg
10051,0.04158790170132325,3.187536806896415,46864836.65290578,44,15.664813505915667,1104.3846880907372,China,Upper Middle,Eastern and South-Eastern Asia,334148.2745,1,middle,middle
10052,0.023629489603024575,0.7261221578438645,3293991.5031344364,25,27.854626773601094,926.3317580340265,India,Lower Middle,Central and Southern Asia,181456.603,1,hotter,lower_veg
10053,0.04253308128544423,2.6439288109533714,60444963.36187803,45,17.480386399450083,1074.694706994329,China,Upper Middle,Eastern and South-Eastern Asia,508039.93,1,middle,middle
10060,0.020793950850661626,0.81128005438854,5458620.665312085,22,27.276248840445227,1104.3336483931946,India,Lower Middle,Central and Southern Asia,305836.5848,1,hotter,middle
10073,0.03969754253308128,2.7328614934324067,110352864.70082797,42,13.90732817547831,1159.7381852551985,China,Upper Middle,Eastern and South-Eastern Asia,961427.8535,1,cooler,higher_veg
10075,0.0444234404536862,2.8309265187601826,20506173.13128086,47,16.400147785597063,1015.3298676748582,China,Upper Middle,Eastern and South-Eastern Asia,154119.7036,1,middle,middle
10079,0.04064272211720227,3.2415030716040265,27941799.577872306,43,15.010819563160801,906.9933837429112,China,Upper Middle,Eastern and South-Eastern Asia,200465.4255,1,middle,lower_veg
10091,0.04158790170132325,3.161775451595751,18335436.61085537,44,15.902292761535284,1025.2126654064273,China,Upper Middle,Eastern and South-Eastern Asia,131797.6165,1,middle,middle
10093,0.034026465028355386,3.206958404151247,79310489.14212029,36,17.78729031641756,967.8809073724008,China,Upper Middle,Eastern and South-Eastern Asia,686965.3002,1,middle,lower_veg
10099,0.045368620037807186,3.1722845973958234,156255887.61808062,48,16.225056721354438,1372.3553875236296,China,Upper Middle,Eastern and South-Eastern Asia,1026178.734,1,middle,higher_veg
101,0.036862003780718335,1.613311571382365,4853851.829339604,39,15.635663215935292,1018.796786389414,Albania,Upper Middle,Europe,77144.26737,1,middle,middle
10101,0.04064272211720227,2.9716267759947423,106100561.69180393,43,18.08141597028626,1052.7277882797732,China,Upper Middle,Eastern and South-Eastern Asia,830338.0973,1,middle,middle
10103,0.04064272211720227,3.0109158942790386,12380373.427865803,43,16.398443591361303,1005.1086956521739,China,Upper Middle,Eastern and South-Eastern Asia,95623.94674,1,middle,lower_veg
10106,0.02930056710775047,1.3326604283670211,14810561.450437408,31,24.859962410117998,992.695652173913,India,Lower Middle,Central and Southern Asia,358500.9629,1,hotter,lower_veg
10115,0.04253308128544423,3.2767092042718735,18955680.991179787,45,16.31895026599419,1005.6833648393194,China,Upper Middle,Eastern and South-Eastern Asia,128555.0011,1,middle,lower_veg
10125,0.04253308128544423,2.8549519950170534,57143577.368439674,45,14.630824788607839,1105.594517958412,China,Upper Middle,Eastern and South-Eastern Asia,444791.1128,1,middle,middle
10127,0.04253308128544423,3.0247763827103356,120684081.38995832,45,15.556582723988788,1337.8081285444234,China,Upper Middle,Eastern and South-Eastern Asia,886633.6337,1,middle,higher_veg
10129,0.04064272211720227,2.9603003401200425,17408158.275595713,43,15.432512684706843,964.4196597353497,China,Upper Middle,Eastern and South-Eastern Asia,136756.6948,1,middle,lower_veg
1013,0.036862003780718335,1.5612541125797161,5038454.148822007,39,14.796071790732473,1085.343100189036,India,Lower Middle,Central and Southern Asia,82748.30534,1,middle,middle
10131,0.045368620037807186,2.928525488194102,1135726797.385247,48,17.79271822598424,1525.8620037807184,China,Upper Middle,Eastern and South-Eastern Asia,8079484.041,1,middle,higher_veg
10132,0.020793950850661626,0.6031757411356992,5806210.740535412,22,28.1772076561775,1047.0463137996219,India,Lower Middle,Central and Southern Asia,437548.5485,1,hotter,middle
10143,0.04158790170132325,2.8636284834483265,165119339.92941886,44,15.381847709565578,1409.6625708884687,China,Upper Middle,Eastern and South-Eastern Asia,1310474.558,1,middle,higher_veg
1015,0.031190926275992438,1.6487585741405864,4965048.7932102755,33,22.63031908214894,1027.274102079395,Nepal,Lower Middle,Central and Southern Asia,91254.12683,1,hotter,middle
10157,0.036862003780718335,3.5078353228092864,21316027.19810552,39,18.06406915620123,908.7533081285444,China,Upper Middle,Eastern and South-Eastern Asia,155812.5595,1,middle,lower_veg
10160,0.02835538752362949,1.1727025331517864,27789834.562749803,30,26.35888367870739,923.8005671077505,India,Lower Middle,Central and Southern Asia,789908.6022,1,hotter,lower_veg
10161,0.04158790170132325,3.4209787795079363,17260907.61835844,44,16.056062573601707,985.9177693761815,China,Upper Middle,Eastern and South-Eastern Asia,114672.8408,1,middle,lower_veg
10162,0.022684310018903593,1.169138164260759,3184291.861857193,24,27.861726189140434,911.5028355387524,India,Lower Middle,Central and Southern Asia,113484.3012,1,hotter,lower_veg
10169,0.04064272211720227,2.4048361854171008,81131029.8719891,43,13.76303646998178,994.0387523629489,China,Upper Middle,Eastern and South-Eastern Asia,784572.4162,1,cooler,lower_veg
10171,0.04158790170132325,3.0891799200099994,9872887.965646718,44,14.770026946948482,921.0293005671077,China,Upper Middle,Eastern and South-Eastern Asia,72635.39943,1,middle,lower_veg
10176,0.026465028355387523,1.0229429362289308,23924804.09924265,28,27.993874819721416,979.8147448015122,India,Lower Middle,Central and Southern Asia,835293.2104,1,hotter,lower_veg
10180,0.020793950850661626,0.8551255264149892,2820433.490349242,22,27.681828546674307,967.5586011342155,India,Lower Middle,Central and Southern Asia,149921.2903,1,hotter,lower_veg
10189,0.034026465028355386,3.0948494925075605,44852582.16145846,36,18.257766660424263,1077.1304347826087,China,Upper Middle,Eastern and South-Eastern Asia,402573.7158,1,middle,middle
10190,0.01984877126654064,0.8373746472041094,6333034.79917185,21,27.93493120903782,1078.9366729678638,India,Lower Middle,Central and Southern Asia,360141.1706,1,hotter,middle
10195,0.04253308128544423,3.0587949273544552,13068534.442023588,45,15.157822426779,937.694706994329,China,Upper Middle,Eastern and South-Eastern Asia,94943.23202,1,middle,lower_veg
10199,0.045368620037807186,2.5507597247232208,190437359.77894938,48,14.254785262820457,1681.0756143667297,China,Upper Middle,Eastern and South-Eastern Asia,1555397.381,1,cooler,higher_veg
10204,0.023629489603024575,0.6876382417982058,6711889.90411358,25,28.144655311065133,1062.4792060491493,India,Lower Middle,Central and Southern Asia,390431.4505,1,hotter,middle
10207,0.043478260869565216,2.959150763980511,25591694.642770603,46,16.423478176393754,930.6011342155009,China,Upper Middle,Eastern and South-Eastern Asia,188007.044,1,middle,lower_veg
10208,0.01890359168241966,0.8739753514518565,6617659.780838251,20,27.710928825659387,1058.7448015122873,India,Lower Middle,Central and Southern Asia,378595.3328,1,hotter,middle
10210,0.01984877126654064,0.7229468761403355,1226901.1181657033,21,27.926927613477314,964.4168241965973,India,Lower Middle,Central and Southern Asia,80813.49363,1,hotter,lower_veg
10211,0.043478260869565216,3.357383949017044,18589093.797973115,46,15.923030886902312,1013.890359168242,China,Upper Middle,Eastern and South-Eastern Asia,120364.7664,1,middle,middle
10217,0.04064272211720227,2.830840164633772,6610321.030693114,43,15.996410387780756,964.0586011342155,China,Upper Middle,Eastern and South-Eastern Asia,54304.86609,1,middle,lower_veg
10220,0.022684310018903593,0.9207570999668014,2617172.3463451862,24,27.834258799682143,943.2211720226843,India,Lower Middle,Central and Southern Asia,118433.8929,1,hotter,lower_veg
10224,0.026465028355387523,1.007881002497388,34994445.11284325,28,28.124393749561243,1106.3015122873346,India,Lower Middle,Central and Southern Asia,1240028.94,1,hotter,middle
10227,0.04064272211720227,2.9794454077256223,21982067.829742994,43,17.461089224249907,1054.7466918714556,China,Upper Middle,Eastern and South-Eastern Asia,171579.2068,1,middle,middle
10229,0.04158790170132325,3.3182825116118484,474072187.8035711,44,18.48512674154949,1344.1918714555766,China,Upper Middle,Eastern and South-Eastern Asia,3246971.247,1,middle,higher_veg
10235,0.04064272211720227,3.147731322667876,29168093.834081568,43,14.538774154739698,920.5652173913044,China,Upper Middle,Eastern and South-Eastern Asia,215497.3516,1,middle,lower_veg
10237,0.038752362948960305,3.0996799430564996,121603881.91791196,41,15.724195312648755,1198.2551984877127,China,Upper Middle,Eastern and South-Eastern Asia,956856.3187,1,middle,higher_veg
10239,0.04158790170132325,2.3140038609485396,13938051.207228199,44,16.764854419734696,1168.6313799621928,China,Upper Middle,Eastern and South-Eastern Asia,136894.2794,1,middle,higher_veg
10244,0.024574669187145556,0.8805598602266149,6012879.152071386,26,27.92430817360941,911.437618147448,India,Lower Middle,Central and Southern Asia,262633.5735,1,hotter,lower_veg
10249,0.035916824196597356,2.6404309592875816,12882423.38401613,38,17.48208405541817,943.9697542533081,China,Upper Middle,Eastern and South-Eastern Asia,128392.3522,1,middle,lower_veg
