metric,veg_group,year,mean_frac_event,p90_frac_event,max_frac_event,mean_concurrent_exposed_population,max_concurrent_exposed_population,represented_population,n_cities,population_exposed_at_least_once,cities_exposed_at_least_once,share_represented_pop_exposed_at_least_once,period
true_failure_local_t2m_p90,high_veg,2003,0.011658010763654622,0.03807289787080477,0.0801154817755323,19877933.897897173,95900619.16922,2013762264.75494,2771,542947847.9007,840,0.26961864238069466,2003-2008
true_failure_local_t2m_p90,high_veg,2004,0.003498972274959597,0.010104655359076144,0.02381811620353663,12320006.49890587,111030881.95114,2013762264.75494,2771,441215675.90057,347,0.21910018060362385,2003-2008
true_failure_local_t2m_p90,high_veg,2005,0.008206109864591343,0.020570191266690727,0.041862143630458315,21554149.82030978,137302677.06631,2013762264.75494,2771,649930801.00056,697,0.322744552510349,2003-2008
true_failure_local_t2m_p90,high_veg,2006,0.008323788304332136,0.020028870443883073,0.07614579574160953,13788029.076183695,82812169.7089,2013762264.75494,2771,384633279.14249,669,0.1910023272728755,2003-2008
true_failure_local_t2m_p90,high_veg,2007,0.0063467905166868024,0.015517863587152653,0.04727535185853483,14361164.036790432,95975310.07496,2013762264.75494,2771,513845631.72871,557,0.2551669781096237,2003-2008
true_failure_local_t2m_p90,high_veg,2008,0.0029341157642037877,0.007037170696499458,0.014796102490075786,7993259.42985674,64966508.90776001,2013762264.75494,2771,304733573.94787,278,0.1513254962024794,2003-2008
true_failure_local_t2m_p90,high_veg,2009,0.006723361523857343,0.01858534824972934,0.039335979790689285,19379849.27644826,112766828.74622,2013762264.75494,2771,519779376.84967,563,0.2581135747485681,other
true_failure_local_t2m_p90,high_veg,2010,0.009375049032683226,0.024539877300613498,0.07217610970768676,26969671.346075438,156599379.7355,2013762264.75494,2771,742503867.82292,761,0.36871475884631155,other
true_failure_local_t2m_p90,high_veg,2011,0.005162160889962813,0.015337423312883436,0.038614218693612416,9313433.260752173,77235275.26816,2013762264.75494,2771,320344217.17108,403,0.15907747541890876,other
true_failure_local_t2m_p90,high_veg,2012,0.012575902593632811,0.04583182966438109,0.06351497654276435,21867480.290286954,106007921.99467,2013762264.75494,2771,588665338.24824,874,0.2923211684671608,other
true_failure_local_t2m_p90,high_veg,2013,0.009461346555159806,0.03338145073980513,0.0801154817755323,19223303.248590868,151092797.69763,2013762264.75494,2771,473429239.67382,753,0.23509688703568635,other
true_failure_local_t2m_p90,high_veg,2014,0.009210299217046114,0.020750631540959942,0.06387585709130278,26078479.91498348,137979972.13030002,2013762264.75494,2771,727908513.84604,738,0.36146695495588754,other
true_failure_local_t2m_p90,high_veg,2015,0.01208165314672148,0.031757488271382174,0.07758931793576326,27938266.914107826,122034475.52419999,2013762264.75494,2771,569997527.2918,802,0.2830510518882747,2015-2020
true_failure_local_t2m_p90,high_veg,2016,0.007798157940156591,0.01623962468422952,0.03572717430530494,18458303.31827348,83380147.14651,2013762264.75494,2771,566653861.58389,650,0.2813906445172402,2015-2020
true_failure_local_t2m_p90,high_veg,2017,0.008802347292611363,0.024720317574882713,0.07001082641645616,17975659.151426956,162444429.51483,2013762264.75494,2771,542972896.06764,737,0.26963108087325083,2015-2020
true_failure_local_t2m_p90,high_veg,2018,0.01453720992264604,0.04547094911584265,0.10970768675568388,26633851.665796522,190290312.6895,2013762264.75494,2771,727361922.30881,951,0.3611955269195217,2015-2020
true_failure_local_t2m_p90,high_veg,2019,0.014953007076396841,0.03464453265968964,0.06387585709130278,32888110.96631674,175095278.73113,2013762264.75494,2771,784613836.85143,1067,0.38962585136478944,2015-2020
true_failure_local_t2m_p90,high_veg,2020,0.011030392418370389,0.02742692168892097,0.06604114038253338,23733413.770119127,106568948.70761,2013762264.75494,2771,592065821.13112,832,0.29400979027838225,2015-2020
