metric,veg_group,period,mean_frac_event,p90_frac_event,max_frac_event,mean_concurrent_exposed_population,max_concurrent_exposed_population,mean_population_exposed_at_least_once,max_population_exposed_at_least_once,mean_share_represented_pop_exposed_at_least_once
true_failure_local_t2m_p90,high_veg,2003-2008,0.006827964581404715,0.01855527487068447,0.0801154817755323,14982423.793323949,137302677.06631,472884468.27015,649930801.00056,0.2348263628466077
true_failure_local_t2m_p90,high_veg,2015-2020,0.011533794632817118,0.03004330566582461,0.10970768675568388,24604600.96434011,190290312.6895,630610977.539115,784613836.85143,0.3131506576402432
true_failure_local_t2m_p90,high_veg,2021-2025,0.017416409081637458,0.05156983038614219,0.15337423312883436,37014928.09230217,240950337.35308,802550660.7723138,1121567366.31541,0.3985329722473364
true_failure_local_t2m_p90,low_veg,2003-2008,0.004682676712185424,0.013658243080625751,0.0368231046931408,3426698.1272230074,27680249.28171,111509218.97525,128262718.23815,0.14746720114476727
true_failure_local_t2m_p90,low_veg,2015-2020,0.008772824778946267,0.02536101083032491,0.05812274368231047,6340790.1418626085,45778830.133370005,183815522.21829,220048183.28095,0.2430898614267174
true_failure_local_t2m_p90,low_veg,2021-2025,0.013037199811646522,0.0392057761732852,0.0776173285198556,10052976.609148435,52962275.32564,241573716.38990197,316076313.72659,0.3194731355267191
true_failure_local_t2m_p95,high_veg,2003-2008,0.004257344442178045,0.012059424996992661,0.07325875135330205,8921108.617895579,131308530.75265,306331056.181185,509582641.25558,0.15211877863768752
true_failure_local_t2m_p95,high_veg,2015-2020,0.007643868430274217,0.01732226632984482,0.1079032840129917,16659329.402309349,187981167.78818,490025972.00711995,617062142.86194,0.24333854128841395
true_failure_local_t2m_p95,high_veg,2021-2025,0.012429981328354229,0.038289426199927826,0.1378563695416817,25679020.72132687,188403834.99824,625110534.57436,975065250.02053,0.3104192314629708
true_failure_local_t2m_p95,low_veg,2003-2008,0.002690577094124418,0.008303249097472924,0.03032490974729242,1875667.5709144927,20942318.60759,67803815.02250667,83338422.85014,0.08966827066133315
true_failure_local_t2m_p95,low_veg,2015-2020,0.005780097315962958,0.016034897713598072,0.04909747292418772,4083974.0040040943,36865690.38215,128129459.32532167,155960630.22931,0.16944691142614224
true_failure_local_t2m_p95,low_veg,2021-2025,0.009425521896091665,0.031191335740072202,0.0703971119133574,7249471.251170869,49097573.33674,185139580.936742,267636022.52026,0.2448408846618885
true_failure_local_wetbulb_p90,high_veg,2003-2008,0.0038611603617173733,0.011488030795140143,0.07181522915914833,7780399.774311051,89539676.35523,268673671.3266466,344279879.33514,0.13341876349010953
true_failure_local_wetbulb_p90,high_veg,2015-2020,0.007103855145685908,0.019667989895344642,0.10104655359076146,14861112.754013369,175897014.0661,470379645.01576835,533917501.59269,0.2335825103332195
true_failure_local_wetbulb_p90,high_veg,2021-2025,0.011202987463323554,0.036232407073258754,0.13929989173583543,24419891.47279778,184686238.70988,618004177.110042,832022695.60874,0.30689033553086686
true_failure_local_wetbulb_p90,low_veg,2003-2008,0.0024263590226547374,0.007851985559566786,0.023826714801444042,1763837.0807094201,17117051.30534,63889230.247436665,72458503.72827,0.08449136362415248
true_failure_local_wetbulb_p90,low_veg,2015-2020,0.005957986710615811,0.018802647412755714,0.05415162454873646,4441463.06463663,49368881.59323,143875336.872185,186610227.649,0.19027030623370114
true_failure_local_wetbulb_p90,low_veg,2021-2025,0.008968764715115367,0.031299638989169674,0.06787003610108304,7132390.215448652,43812755.35148,195591339.065536,257087105.75943,0.25866298414800737
true_failure_t2m_ge25,high_veg,2003-2008,0.004169739381482121,0.01269096595693492,0.029953085528690002,15158124.171632463,118559060.98007001,411382159.81495166,542680983.3118,0.20428536526629862
true_failure_t2m_ge25,high_veg,2015-2020,0.005139932740233997,0.012089498376037532,0.0555756044749188,18207177.767119672,153258389.64164,467699221.1303517,576317144.61195,0.232251457540976
true_failure_t2m_ge25,high_veg,2021-2025,0.008389688230586981,0.020606279321544567,0.08625045110068567,26604069.392263822,209793048.8576,563469487.11729,705763949.42673,0.2798093384602477
true_failure_t2m_ge25,low_veg,2003-2008,0.0065805995919007996,0.015192539109506619,0.04043321299638989,6350354.740419711,55348872.13448,161382976.21081832,186825632.08508,0.2134235719066795
true_failure_t2m_ge25,low_veg,2015-2020,0.008754512635379061,0.02081829121540313,0.05270758122743682,8444250.95705134,48266469.008200005,189895294.89093336,222613325.36673,0.2511301568199633
true_failure_t2m_ge25,low_veg,2021-2025,0.011902370114581697,0.02848375451263538,0.06787003610108304,11315764.043500477,56865757.98755,235000090.284348,278668700.65358,0.31077973553641525
true_failure_t2m_ge28,high_veg,2003-2008,0.001053875804789774,0.003909539275833033,0.02201371346084446,3870136.1350568477,105597820.74919999,124729525.63220833,271510441.35885,0.06193855541701045
true_failure_t2m_ge28,high_veg,2015-2020,0.0010329551932802994,0.0026464573559485146,0.033201010465535905,3396115.4711836963,123945903.85986,116187382.39698166,187632024.85555,0.05769667275552053
true_failure_t2m_ge28,high_veg,2021-2025,0.0023912258955329268,0.007325875135330205,0.05196679898953446,6836306.0302156955,96661604.36204,175557834.39591798,359327772.99201,0.08717902677418683
true_failure_t2m_ge28,low_veg,2003-2008,0.001680793177418511,0.005024067388688327,0.02888086642599278,1185107.7992375,18217850.67971,36334386.719395004,58009567.78806,0.04805100747777675
true_failure_t2m_ge28,low_veg,2015-2020,0.0017265735363365248,0.004482551143200963,0.023104693140794223,1529488.173061848,33505141.17181,44200649.44168333,80873890.22320001,0.05845387602788963
true_failure_t2m_ge28,low_veg,2021-2025,0.0033699576204677443,0.010830324909747294,0.04115523465703971,2854187.390698565,27865820.49283,65497332.63068201,113757359.25202,0.08661802507681725
