metric,veg_group,un_sdg_reg,total_person_intervals,represented_population,n_cities,mean_event_interval_share,burden_share,population_share
true_failure_local_t2m_p90,high_veg,Australia and New Zealand,163263791.0903,15832493.92726,23,0.007355962850332868,0.006507194902550783,0.007862146492841695
true_failure_local_t2m_p90,high_veg,Central and Southern Asia,5336580836.88515,470098539.14864,454,0.00906039989007603,0.2126997749281863,0.23344291795330047
true_failure_local_t2m_p90,high_veg,Eastern and South-Eastern Asia,8804378610.66192,711869352.66036,746,0.009584830501173239,0.35091557799082784,0.35350218102681014
true_failure_local_t2m_p90,high_veg,Europe,3452666652.71034,223217235.13468,642,0.01321484726957935,0.1376127228988415,0.11084587244554604
true_failure_local_t2m_p90,high_veg,Latin America and the Caribbean,3619860859.66229,220584877.94395,367,0.012944067002158204,0.14427657214519402,0.10953868875420285
true_failure_local_t2m_p90,high_veg,Northern Africa and Western Asia,469043156.88143003,83418939.76188,80,0.007585066162570889,0.018694624320263666,0.04142442294300885
true_failure_local_t2m_p90,high_veg,Northern America,1418242180.67508,131938633.7179,247,0.010178857059764432,0.056526791562539536,0.06551847555548268
true_failure_local_t2m_p90,high_veg,Sub-Saharan Africa,1825698203.2865798,156802192.46027,212,0.010860648428861861,0.07276674125159643,0.07786529482880723
true_failure_local_t2m_p90,low_veg,Australia and New Zealand,11058964.72104,1860601.33045,17,0.005949071500055599,0.0017658708652772384,0.0024605828394205784
true_failure_local_t2m_p90,low_veg,Central and Southern Asia,1318394499.68301,182297701.19666,639,0.007833601060257787,0.21051829847170814,0.2410825940459984
true_failure_local_t2m_p90,low_veg,Eastern and South-Eastern Asia,2219945432.65375,238431964.35072,1022,0.00789900081015393,0.3544759442599864,0.3153182738554892
true_failure_local_t2m_p90,low_veg,Europe,724750598.73688,60214319.3795,366,0.010097410311237823,0.11572656204127355,0.07963141728849217
true_failure_local_t2m_p90,low_veg,Latin America and the Caribbean,442373704.20128,44567009.25012,153,0.008809320829781187,0.07063724819807082,0.05893837458378103
true_failure_local_t2m_p90,low_veg,Northern Africa and Western Asia,485146252.15718,88350044.80646001,193,0.00595512111031666,0.07746707342803089,0.11683997025855974
true_failure_local_t2m_p90,low_veg,Northern America,183211688.42848,20886449.357359998,121,0.008819072317955288,0.029254834510736984,0.027621628569252526
true_failure_local_t2m_p90,low_veg,Oceania,1186244.0522699999,213232.14781,2,0.005671077504725898,0.0001894168092449624,0.00028199236189258324
true_failure_local_t2m_p90,low_veg,Sub-Saharan Africa,876544983.28904,119341527.34073,257,0.00788507793134392,0.13996475141567105,0.15782516619711365
true_failure_local_t2m_p95,high_veg,Australia and New Zealand,73722444.79624,15832493.92726,23,0.004109476452699926,0.004447975969197549,0.007862146492841695
true_failure_local_t2m_p95,high_veg,Central and Southern Asia,3465706012.71763,470098539.14864,454,0.0061561586569289575,0.20910018792075774,0.23344291795330047
true_failure_local_t2m_p95,high_veg,Eastern and South-Eastern Asia,5958372136.72061,711869352.66036,746,0.006522499328491716,0.3594929082034623,0.35350218102681014
