metric,veg_group,n_dhd_hot_intervals,n_failure_intervals,share_dhd_hot_with_refuge_failure,overall_failure_fraction
t2m_local_p90,high_veg,63301,31836,0.5029304434369125,0.010859161761124364
t2m_local_p90,low_veg,53179,23781,0.4471877996953685,0.008114554400715197
t2m_local_p95,high_veg,41812,21428,0.5124844542236678,0.007309024947147031
t2m_local_p95,low_veg,34691,15870,0.45746735464529703,0.005415162454873646
wetbulb_local_p90,high_veg,40662,19102,0.46977522010722544,0.006515633495445333
wetbulb_local_p90,low_veg,36793,15209,0.4133666730084527,0.005189615990937195
humidex_local_p90,high_veg,50080,24097,0.48117012779552715,0.008219412644735953
humidex_local_p90,low_veg,43839,18661,0.4256712060037866,0.006367507660390492
humidex_local_p95,high_veg,30672,14745,0.4807316118935837,0.005029474185443484
humidex_local_p95,low_veg,26500,11423,0.4310566037735849,0.003897756819283028
heat_index_local_p90,high_veg,59873,29684,0.4957827401332821,0.010125121174683241
heat_index_local_p90,low_veg,50459,22166,0.4392873421986167,0.007563483993366682
heat_index_local_p95,high_veg,38779,19556,0.5042935609479358,0.006670491500205681
heat_index_local_p95,low_veg,32226,14412,0.44721653323403465,0.004917663597960869
