metric,veg_group,period,mean_frac_event,p90_frac_event,max_frac_event,mean_concurrent_exposed_population,max_concurrent_exposed_population,mean_population_exposed_at_least_once,max_population_exposed_at_least_once,mean_share_represented_pop_exposed_at_least_once
heat_index_local_p90,high_veg,2003-2008,0.006325869905177328,0.018314687838325513,0.07975460122699386,13367244.647859672,122724616.50361,434578941.92524004,612998913.40213,0.21580449168766455
heat_index_local_p90,high_veg,2015-2020,0.01076365462162459,0.028690003608805484,0.10970768675568388,23293780.72319192,189597936.79015,627775939.87965,777869063.94511,0.31174282628443517
heat_index_local_p90,high_veg,2021-2025,0.016421634004361946,0.04900757849151931,0.15229159148321905,34794549.88611008,240029913.38395,769410715.441272,1031863990.48366,0.3820762405312544
heat_index_local_p90,low_veg,2003-2008,0.004271961492178099,0.013146811070998797,0.03176895306859206,3103438.408928515,26679374.44849,104296545.03594166,117309475.34659,0.13792868183332196
heat_index_local_p90,low_veg,2015-2020,0.008171140061738084,0.02503008423586041,0.05451263537906137,5888416.99780576,47156398.35817,175212289.18606165,207821727.31377,0.23171237436584477
heat_index_local_p90,low_veg,2021-2025,0.012252393658766283,0.038267148014440436,0.0779783393501805,9668239.223631652,52165739.53044,235715623.84583998,302224097.68797,0.31172600466652
heat_index_local_p95,high_veg,2003-2008,0.0037617874570473695,0.011187297004691447,0.06928906531937928,7288763.432235797,114589414.1132,256911096.16455165,466052822.75818,0.1275776692517455
heat_index_local_p95,high_veg,2015-2020,0.0070750893048603805,0.015908817514735957,0.1079032840129917,15162727.122968549,188678702.75378,467235918.57501,563542533.73841,0.23202138939268938
heat_index_local_p95,high_veg,2021-2025,0.011543470415640248,0.03540238181162035,0.1367737278960664,23915463.354305435,187386130.72234,595470060.411072,890205707.55573,0.2957002774523319
heat_index_local_p95,low_veg,2003-2008,0.0022667817715690893,0.007460890493381468,0.023104693140794223,1527211.0215469205,16062129.539549999,56591609.514696665,68523936.45435,0.07484050502821835
heat_index_local_p95,low_veg,2015-2020,0.005382462198503636,0.016395908543922984,0.04837545126353791,3764417.940281015,36687835.31625,122874826.45690167,163760568.19263,0.162497835741905
heat_index_local_p95,low_veg,2021-2025,0.008665829540103595,0.02891696750902527,0.07075812274368232,6800881.308635913,46240523.18027,179451259.93889397,266530271.5231,0.23731827097600267
humidex_local_p90,high_veg,2003-2008,0.0049228813958232,0.01494646938530013,0.07831107903284013,9998061.44672145,112067996.80284,331846358.36110336,466019994.08755,0.16478924258792116
humidex_local_p90,high_veg,2015-2020,0.008794502063295311,0.024058703235895585,0.108985925658607,18545102.580942824,188878773.03497002,564270367.1203867,685985656.43978,0.28020704181238304
humidex_local_p90,high_veg,2021-2025,0.013821725009022012,0.04391916275712739,0.14904366654637316,29980316.982636523,201843807.19402,706894995.42557,975956792.16134,0.3510320000517012
humidex_local_p90,low_veg,2003-2008,0.0032647935959817923,0.010860409145607701,0.02851985559566787,2338574.476498732,23359343.82536,81487616.45684667,93847808.45288,0.10776463898932544
humidex_local_p90,low_veg,2015-2020,0.006958614555538115,0.02214199759326113,0.05595667870036101,5198686.663057137,50412751.27532,161167542.56028166,197621630.08623,0.21313866813128768
humidex_local_p90,low_veg,2021-2025,0.010748705069847746,0.03552346570397112,0.07472924187725631,8502949.530168172,52760121.09481,219906705.620058,289704115.70968,0.2908192406760018
humidex_local_p95,high_veg,2003-2008,0.0026830684260900945,0.008540839648742932,0.06748466257668712,4916457.796385833,102606348.59815,180080812.58183,325197398.27429,0.08942506061098753
