region,metric,interpretation,n_events,lag4_mean_event_minus_control,lag4_median_event_minus_control,lag2_mean_event_minus_control,lag2_median_event_minus_control,lag1_mean_event_minus_control,lag1_median_event_minus_control,lag0_mean_event_minus_control,lag0_median_event_minus_control
Eastern and South-Eastern Asia,VPD anomaly,higher_if_positive_drier_air,25,5.090709249925416,5.209854444392107,2.3594768163047393,2.1935402829462873,5.673936596165622,6.433024008039311,7.788528271075729,8.571608020475132
Eastern and South-Eastern Asia,root-zone soil moisture anomaly,lower_if_negative_drier_soils,25,-4.332375524047294,-3.258121751691874,-4.125049068098671,-3.7794212319625657,-5.373906762761632,-5.410837376544663,-6.894154222996843,-7.755114858605367
Eastern and South-Eastern Asia,precipitation anomaly,lower_if_negative_drier_interval,25,-0.002299724252238256,-0.0021640860716045,0.00036797212453754753,-0.0002156312859551003,-0.002301795466666132,-0.0018654237967721,-0.0021030279136111598,-0.0016165857588432999
Eastern and South-Eastern Asia,true-night 2m temperature anomaly,higher_if_positive_hotter_air,25,0.4461315045502224,0.513314141178114,0.3622528836802914,0.30105021061275394,0.5409312782741073,0.4655804802324325,0.4235647667538801,0.3680013960046863
Eastern and South-Eastern Asia,true-night wet-bulb anomaly,higher_if_positive_hotter_humid_air,25,0.3325037199735988,0.3407766245125111,0.23088674302547688,0.1359251097762169,0.35328518636639045,0.2402658507830785,0.20798159680112974,0.1678616875102853
Eastern and South-Eastern Asia,core-ring anomaly,higher_if_positive_more_core_warming,25,0.07214305891181796,0.0713038275163965,0.0602288912628894,0.0786845263875315,0.07851806425097325,0.0868431961900519,0.0701021958453955,0.0700497638917101
Europe,VPD anomaly,higher_if_positive_drier_air,17,0.7682794253883188,-0.7678176079890662,3.7976168374929236,3.616122599588614,6.314614026872232,4.7749148177807115,6.703649003998415,7.142744987203038
Europe,root-zone soil moisture anomaly,lower_if_negative_drier_soils,17,-0.872373067178728,-0.9122740904737157,-3.588967736512854,-2.286180853235358,-5.642577347487112,-5.89288237787931,-6.97852272003059,-8.466406016926534
Europe,precipitation anomaly,lower_if_negative_drier_interval,17,-0.0016599994449311463,-0.0009976574488350998,-0.0035117907779877613,-0.0039527049715119,-0.0029748575695453666,-0.0012865887204784004,-0.00294637215527403,-0.0024308741969884
Europe,true-night 2m temperature anomaly,higher_if_positive_hotter_air,17,-0.11390304703092306,-0.18798733418913477,0.11685609686365109,0.17389595435405175,0.21426167519813788,0.1560779476681624,0.3303291454991292,0.4668301748674324
Europe,true-night wet-bulb anomaly,higher_if_positive_hotter_humid_air,17,-0.14559560897624568,0.010230859351995691,0.0038473598862608536,-0.0719566305711013,0.015220422849335516,0.003960183798675104,0.16261082527324852,0.1923007586959428
Europe,core-ring anomaly,higher_if_positive_more_core_warming,17,0.024718721583449163,0.014187884764656801,0.03571115152642911,0.0202152617190346,0.07112413588041913,0.0678045711654135,0.06434532154793304,0.0494371358079806
