year,unit,rows
2003,core,254886
2003,ring10_20,254886
2003,ring20_30,254886
2003,ring5_15,254886
2004,core,254886
2004,ring10_20,254886
2004,ring20_30,254886
2004,ring5_15,254886
2005,core,254886
2005,ring10_20,254886
2005,ring20_30,254886
2005,ring5_15,254886
2006,ring20_30,254886
2006,ring5_15,254886
2007,ring20_30,254886
2007,ring5_15,254886
2008,ring20_30,254886
2008,ring5_15,254886
2009,ring20_30,254886
2009,ring5_15,254886
2010,ring20_30,254886
2010,ring5_15,254886
2011,ring20_30,254886
2011,ring5_15,254886
2012,ring20_30,254886
2012,ring5_15,254886
2013,ring20_30,254886
2013,ring5_15,254886
2014,ring20_30,254886
2014,ring5_15,254886
2015,ring20_30,254886
2015,ring5_15,254886
2016,ring20_30,254886
2016,ring5_15,254886
2017,ring20_30,254886
2017,ring5_15,254886
2018,ring20_30,254886
2018,ring5_15,254886
2019,ring20_30,254886
2019,ring5_15,254886
2020,ring20_30,254886
2020,ring5_15,254886
2021,ring20_30,254886
2021,ring5_15,254886
2022,ring20_30,254886
2022,ring5_15,254886
2023,ring20_30,254886
2023,ring5_15,254886
2024,ring20_30,254886
2024,ring5_15,254886
2025,ring20_30,254886
2025,ring5_15,254886
