ring_definition,veg_group,n_city_intervals,n_cities,mean_core_minus_ring_anom,p_anomalous_core_warmer,p_hot_and_anomalous,state
ring10_20,high_veg,402652,2739,-0.14144411031825857,0.4341565421257066,0.02009427495703486,MLD
ring10_20,low_veg,372292,2691,-0.10802661166979848,0.43982948868092786,0.022216432262847443,MLD
ring20_30,high_veg,402652,2739,-0.10689707761996894,0.4382171204911437,0.02028799062217498,MLD
ring20_30,low_veg,372292,2691,-0.0742013970123121,0.43477163087039206,0.021904848882060318,MLD
ring5_15,high_veg,402652,2739,-0.10001696323941693,0.4162005900877184,0.019674557682564597,MLD
ring5_15,low_veg,372292,2691,-0.0645270865504389,0.41621361726816586,0.02138912466558508,MLD
ring10_20,high_veg,259958,2739,0.0635511315040011,0.5438109233029951,0.12042714592357227,DHD
ring10_20,low_veg,234770,2691,-0.012748442563786861,0.49912680495804407,0.09928014652638753,DHD
ring20_30,high_veg,259958,2739,0.08744352930761547,0.5281930157948592,0.11864224220835673,DHD
ring20_30,low_veg,234770,2691,0.016277831739840105,0.48403543894023937,0.0973676364101035,DHD
ring5_15,high_veg,259958,2739,0.13680294760535622,0.540775817632079,0.1201924926334254,DHD
ring5_15,low_veg,234770,2691,0.05900557497450797,0.4909145120756485,0.09939941219065468,DHD
ring10_20,high_veg,114185,2739,0.08299433590026309,0.5511056618645181,0.1366116390068748,Extreme DHD
ring10_20,low_veg,100029,2690,-0.008277730444251064,0.5000349898529427,0.11139769466854613,Extreme DHD
ring20_30,high_veg,114185,2739,0.10547809382089642,0.5361036913780269,0.13490388404781714,Extreme DHD
ring20_30,low_veg,100029,2690,0.025084962691161342,0.4861390196842916,0.10928830639114656,Extreme DHD
ring5_15,high_veg,114185,2739,0.15962857805540642,0.5502999518325524,0.13612996453124315,Extreme DHD
ring5_15,low_veg,100029,2690,0.07097851859460752,0.4957462335922582,0.11257735256775535,Extreme DHD
