event_time,mean_effect,median_effect,p05,p95,n_pairs,outcome
-2,-0.2326959693333183,-0.164916756309239,-1.9101825673285149,1.3268040875668927,21544,t2m_true_night_c
-1,0.232350851099231,0.1632422628313889,-1.326531885148448,1.9094813492251888,21576,t2m_true_night_c
0,1.443424985381114,1.2297289481529532,-1.2370536185347945,4.781581809918038,19879,t2m_true_night_c
1,0.7202795818395507,0.622999732672767,-2.674334619004469,4.311135126068507,18300,t2m_true_night_c
2,0.3014873770126276,0.2745543775104409,-3.322895065258365,3.8826942100073154,18202,t2m_true_night_c
-2,-0.0059673703620626,0.0,-1.5999468872230018,1.5450059649369023,21544,wetbulb_true_night_c
-1,0.0059585199796198,0.0,-1.5449870443658749,1.599681552491194,21576,wetbulb_true_night_c
0,0.8591671775946743,0.6673551821003256,-1.8532788623337613,4.121054724800999,19879,wetbulb_true_night_c
1,0.6730376778978522,0.5898132170013399,-2.6307101332842353,3.9890685780080393,18300,wetbulb_true_night_c
2,0.5324053819672947,0.4972166310585892,-2.907179952226935,3.9559547803541033,18202,wetbulb_true_night_c
-2,-0.4243456028753766,-0.2563618391672673,-3.963941333812059,2.753301826509437,21544,core_tb_day_anom
-1,0.4237162434347012,0.2537541152918194,-2.75207446185168,3.9601668510645904,21576,core_tb_day_anom
0,1.7167576805447675,1.5052582011524152,-4.163823601286568,8.411253682670004,19879,core_tb_day_anom
1,0.4366844162624564,0.3771332313803022,-6.478830750754576,7.447403749055088,18300,core_tb_day_anom
2,-0.1289218485014168,-0.1055475908823631,-7.555983189035265,7.144874731754548,18202,core_tb_day_anom
-2,-0.2698089108906101,-0.1339323222194899,-3.2519216820514396,2.443919544883421,21544,core_tb_night_anom
-1,0.269408749361666,0.1309081741255582,-2.4428083752783123,3.250228739065501,21576,core_tb_night_anom
0,2.035012173167908,1.5677673897348656,-2.1172515671807584,7.826244837618828,19879,core_tb_night_anom
1,0.5993923320013465,0.5185214265418558,-4.600690096593043,6.187562242909555,18300,core_tb_night_anom
2,0.2933052680998951,0.2626476443066963,-5.271056590861974,5.86080820740206,18202,core_tb_night_anom
-2,-0.4204487173819794,-0.2541887022604312,-3.890718277586216,2.685130609043501,21544,core_tv_day_anom
-1,0.4198251375267595,0.2519216718872208,-2.684507718244177,3.889200451694704,21576,core_tv_day_anom
0,1.71652982432184,1.5108416084360554,-4.037239561020539,8.319645675493572,19879,core_tv_day_anom
1,0.4452453606826256,0.3759399553590761,-6.324664339881096,7.295207125357994,18300,core_tv_day_anom
2,-0.118862161984562,-0.0902714388040859,-7.333739302676149,6.986160454025319,18202,core_tv_day_anom
-2,-0.2623586580590725,-0.135440833977225,-3.1624714192378645,2.3728966308582793,21544,core_tv_night_anom
-1,0.2619695462191628,0.1321307268102369,-2.371681327007773,3.1611697656368305,21576,core_tv_night_anom
0,1.9548958572589143,1.5116245670483843,-2.102149110638744,7.547405348154124,19879,core_tv_night_anom
1,0.5916222235078391,0.5088948448029207,-4.455676746411085,6.011834023061838,18300,core_tv_night_anom
2,0.2998481153052874,0.2761593334899572,-5.137635140736529,5.694280484645567,18202,core_tv_night_anom
-2,0.0163404649502311,0.0,-1.2764276380810993,1.313154985804542,21544,core_minus_ring_tb_night_anom
-1,-0.0163162299262041,0.0,-1.312419676942816,1.2751741954861,21576,core_minus_ring_tb_night_anom
0,0.6820646423303545,0.485489303589004,-1.3065576679809547,3.258057969725376,19879,core_minus_ring_tb_night_anom
1,0.1048009534893959,0.0559839013752574,-2.4226311625757475,2.779866204916728,18300,core_minus_ring_tb_night_anom
2,0.0334689299394034,0.0178836876071066,-2.4727693707345715,2.6544573501673128,18202,core_minus_ring_tb_night_anom
-2,-0.0018643888710433,0.0,-1.1872969548754924,1.140862442615533,21544,core_minus_ring_tv_night_anom
-1,0.00186162374109,0.0,-1.14060976333335,1.1871593912315537,21576,core_minus_ring_tv_night_anom
0,0.5465803186202106,0.3781740426496691,-1.2715657593874914,2.9038495770038875,19879,core_minus_ring_tv_night_anom
1,0.0698719398253264,0.0332221631897504,-2.204432155936863,2.4404453121616285,18300,core_minus_ring_tv_night_anom
2,-0.0011519362555381,-0.0163714509612562,-2.2997088622266397,2.320604804024587,18202,core_minus_ring_tv_night_anom
