validation,decile,n_obs,mean_pred,observed_failure_rate
out_of_time,1,3337,0.31650582874284755,0.29038058136050343
out_of_time,2,3336,0.3946247686532125,0.3947841726618705
out_of_time,3,3336,0.4346894831133798,0.44214628297362113
out_of_time,4,3336,0.46678822720057855,0.49460431654676257
out_of_time,5,3337,0.49573038081099674,0.5286185196284088
out_of_time,6,3336,0.5252804450750552,0.5437649880095923
out_of_time,7,3336,0.5576288961228769,0.565347721822542
out_of_time,8,3336,0.5929589753869305,0.5857314148681055
out_of_time,9,3336,0.6326499934279745,0.6306954436450839
out_of_time,10,3337,0.6966179151402405,0.6805513934671861
