year,maximum_concurrent_population,mean_concurrent_population,maximum_million,mean_million
2003,37902403.61832,7066078.30612579,37.90240361832,7.06607830612579
2004,29024565.18337,5059566.796295333,29.02456518337,5.059566796295333
2005,69663502.49622001,6572992.30304325,69.66350249622,6.57299230304325
2006,40662106.5815,7015024.195486764,40.6621065815,7.015024195486764
2007,18556303.88953,3591870.3701275,18.55630388953,3.5918703701275
2008,18834334.19038,1908198.8720737142,18.834334190379998,1.9081988720737142
2009,54524751.0482,7935740.962814571,54.524751048199995,7.935740962814571
2010,51384215.44745,10054406.965091795,51.384215447449996,10.054406965091795
2011,21415744.89445,3592107.899222286,21.41574489445,3.592107899222286
2012,29808618.61102,8861018.429134168,29.808618611019998,8.861018429134168
2013,24449939.04021,4834299.20808875,24.44993904021,4.83429920808875
2014,51808475.64568,9582288.161965,51.808475645680005,9.582288161965
2015,43980002.44524,9912832.485275,43.98000244524,9.912832485275
2016,35718498.00449,6024298.23727375,35.71849800449,6.02429823727375
2017,66216393.89552,6397908.937469231,66.21639389552,6.397908937469231
2018,49886189.79355,10243864.681052778,49.88618979355,10.243864681052777
2019,72263015.09134,10440744.213593863,72.26301509134001,10.440744213593863
2020,37405143.50792,8185873.318031464,37.405143507919995,8.185873318031463
2021,28196430.720620003,5967257.102218975,28.196430720620004,5.9672571022189755
2022,93413516.1416,12627873.572251,93.4135161416,12.627873572251
2023,72355249.81031,10351817.519486137,72.35524981031,10.351817519486136
2024,101683614.2393,23262966.357481997,101.6836142393,23.262966357481996
2025,64854949.1144,11122607.191423722,64.8549491144,11.122607191423722
